frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jun 17 2019 13:20:49.017057000 MST,0,0,22,2,1
2,Jun 17 2019 13:20:49.026997000 MST,0.00994,0.00994,22,70,0
3,Jun 17 2019 13:20:49.042954000 MST,0.015957,0.025897,56,70,1
4,Jun 17 2019 13:20:49.082100000 MST,0.039146,0.065043,172,70,0
5,Jun 17 2019 13:20:49.083032000 MST,0.000932,0.065975,33,70,1
6,Jun 17 2019 13:20:49.083957000 MST,0.000925,0.0669,33,70,1
7,Jun 17 2019 13:20:49.102127000 MST,0.01817,0.08507,548,70,0
8,Jun 17 2019 13:20:49.102922000 MST,0.000795,0.085865,72,70,1
9,Jun 17 2019 13:20:49.121992000 MST,0.01907,0.104935,548,70,0
10,Jun 17 2019 13:20:49.261969000 MST,0.139977,0.244912,548,70,0
11,Jun 17 2019 13:20:49.262945000 MST,0.000976,0.245888,47,70,1
12,Jun 17 2019 13:20:49.264021000 MST,0.001076,0.246964,43,70,1
13,Jun 17 2019 13:20:49.282020000 MST,0.017999,0.264963,548,70,0
14,Jun 17 2019 13:20:49.283001000 MST,0.000981,0.265944,41,70,1
15,Jun 17 2019 13:20:49.302081000 MST,0.01908,0.285024,548,70,0
16,Jun 17 2019 13:20:49.302878000 MST,0.000797,0.285821,33,70,1
17,Jun 17 2019 13:20:49.322141000 MST,0.019263,0.305084,548,70,0
18,Jun 17 2019 13:20:49.322919000 MST,0.000778,0.305862,120,70,1
19,Jun 17 2019 13:20:49.324023000 MST,0.001104,0.306966,120,70,1
20,Jun 17 2019 13:20:49.342001000 MST,0.017978,0.324944,548,70,0
21,Jun 17 2019 13:20:49.342957000 MST,0.000956,0.3259,22,70,1
22,Jun 17 2019 13:20:49.382096000 MST,0.039139,0.365039,548,70,0
23,Jun 17 2019 13:20:49.382879000 MST,0.000783,0.365822,22,70,1
24,Jun 17 2019 13:20:49.525015000 MST,0.142136,0.507958,72,70,1
25,Jun 17 2019 13:20:49.541968000 MST,0.016953,0.524911,548,70,0
26,Jun 17 2019 13:20:50.037986000 MST,0.496018,1.020929,500,70,1
27,Jun 17 2019 13:20:50.062008000 MST,0.024022,1.044951,548,70,0
28,Jun 17 2019 13:20:51.302068000 MST,1.24006,2.285011,548,70,0
29,Jun 17 2019 13:20:51.316863000 MST,0.014795,2.299806,136,70,1
30,Jun 17 2019 13:20:51.341919000 MST,0.025056,2.324862,120,70,1
31,Jun 17 2019 13:20:51.352033000 MST,0.010114,2.334976,100,70,1
32,Jun 17 2019 13:20:51.401965000 MST,0.049932,2.384908,548,70,0
33,Jun 17 2019 13:20:51.415909000 MST,0.013944,2.398852,188,70,1
34,Jun 17 2019 13:20:51.451037000 MST,0.035128,2.43398,148,70,1
35,Jun 17 2019 13:20:51.462109000 MST,0.011072,2.445052,548,70,0
36,Jun 17 2019 13:20:51.474963000 MST,0.012854,2.457906,88,70,1
37,Jun 17 2019 13:20:51.502025000 MST,0.027062,2.484968,548,70,0
38,Jun 17 2019 13:20:51.511011000 MST,0.008986,2.493954,276,70,0
39,Jun 17 2019 13:20:51.514886000 MST,0.003875,2.497829,136,70,1
40,Jun 17 2019 13:20:51.515979000 MST,0.001093,2.498922,232,70,1
41,Jun 17 2019 13:20:51.541951000 MST,0.025972,2.524894,548,70,0
42,Jun 17 2019 13:20:51.553968000 MST,0.012017,2.536911,216,70,1
43,Jun 17 2019 13:20:51.554981000 MST,0.001013,2.537924,200,70,1
44,Jun 17 2019 13:20:51.555907000 MST,0.000926,2.53885,88,70,1
45,Jun 17 2019 13:20:51.582041000 MST,0.026134,2.564984,548,70,0
46,Jun 17 2019 13:20:51.582050000 MST,0.000009,2.564993,2496,70,1
47,Jun 17 2019 13:20:51.602085000 MST,0.020035,2.585028,548,70,0
48,Jun 17 2019 13:20:51.662062000 MST,0.059977,2.645005,548,70,0
49,Jun 17 2019 13:20:51.674925000 MST,0.012863,2.657868,364,70,1
50,Jun 17 2019 13:20:51.676022000 MST,0.001097,2.658965,128,70,1
51,Jun 17 2019 13:20:51.676874000 MST,0.000852,2.659817,128,70,1
52,Jun 17 2019 13:20:51.701987000 MST,0.025113,2.68493,548,70,0
53,Jun 17 2019 13:20:51.710955000 MST,0.008968,2.693898,28,70,0
54,Jun 17 2019 13:20:51.720061000 MST,0.009106,2.703004,316,70,0
55,Jun 17 2019 13:20:51.723920000 MST,0.003859,2.706863,340,70,1
56,Jun 17 2019 13:20:51.742081000 MST,0.018161,2.725024,548,70,0
57,Jun 17 2019 13:20:51.745007000 MST,0.002926,2.72795,72,70,1
58,Jun 17 2019 13:20:51.748914000 MST,0.003907,2.731857,3978,70,1
59,Jun 17 2019 13:20:51.750004000 MST,0.00109,2.732947,2784,70,1
60,Jun 17 2019 13:20:51.753898000 MST,0.003894,2.736841,72,70,1
61,Jun 17 2019 13:20:51.764017000 MST,0.010119,2.74696,72,70,1
62,Jun 17 2019 13:20:51.767931000 MST,0.003914,2.750874,3557,70,1
63,Jun 17 2019 13:20:51.768963000 MST,0.001032,2.751906,3197,70,1
64,Jun 17 2019 13:20:51.782006000 MST,0.013043,2.764949,548,70,0
65,Jun 17 2019 13:20:51.782969000 MST,0.000963,2.765912,88,70,1
66,Jun 17 2019 13:20:51.784930000 MST,0.001961,2.767873,72,70,1
67,Jun 17 2019 13:20:51.789013000 MST,0.004083,2.771956,3978,70,1
68,Jun 17 2019 13:20:51.789931000 MST,0.000918,2.772874,2784,70,1
69,Jun 17 2019 13:20:51.790992000 MST,0.001061,2.773935,192,70,0
70,Jun 17 2019 13:20:51.802046000 MST,0.011054,2.784989,532,70,0
71,Jun 17 2019 13:20:51.811046000 MST,0.009,2.793989,268,70,0
72,Jun 17 2019 13:20:51.819976000 MST,0.00893,2.802919,532,70,0
73,Jun 17 2019 13:20:51.834965000 MST,0.014989,2.817908,72,70,1
74,Jun 17 2019 13:20:51.838011000 MST,0.003046,2.820954,1398,70,1
75,Jun 17 2019 13:20:51.838870000 MST,0.000859,2.821813,3978,70,1
76,Jun 17 2019 13:20:51.839959000 MST,0.001089,2.822902,1446,70,1
77,Jun 17 2019 13:20:51.852030000 MST,0.012071,2.834973,284,70,1
78,Jun 17 2019 13:20:51.862030000 MST,0.01,2.844973,532,70,0
79,Jun 17 2019 13:20:51.882077000 MST,0.020047,2.86502,548,70,0
80,Jun 17 2019 13:20:51.921995000 MST,0.039918,2.904938,548,70,0
81,Jun 17 2019 13:20:51.926874000 MST,0.004879,2.909817,72,70,1
82,Jun 17 2019 13:20:51.942041000 MST,0.015167,2.924984,548,70,0
83,Jun 17 2019 13:20:51.962090000 MST,0.020049,2.945033,548,70,0
84,Jun 17 2019 13:20:51.965021000 MST,0.002931,2.947964,484,70,1
85,Jun 17 2019 13:20:51.965948000 MST,0.000927,2.948891,484,70,1
86,Jun 17 2019 13:20:51.981966000 MST,0.016018,2.964909,548,70,0
87,Jun 17 2019 13:20:51.985989000 MST,0.004023,2.968932,72,70,1
88,Jun 17 2019 13:20:51.991065000 MST,0.005076,2.974008,1158,70,0
89,Jun 17 2019 13:20:52.004943000 MST,0.013878,2.987886,72,70,1
90,Jun 17 2019 13:20:52.006038000 MST,0.001095,2.988981,420,70,1
91,Jun 17 2019 13:20:52.022071000 MST,0.016033,3.005014,548,70,0
92,Jun 17 2019 13:20:52.025917000 MST,0.003846,3.00886,420,70,1
93,Jun 17 2019 13:20:52.034934000 MST,0.009017,3.017877,612,70,1
94,Jun 17 2019 13:20:52.037981000 MST,0.003047,3.020924,3677,70,1
95,Jun 17 2019 13:20:52.039003000 MST,0.001022,3.021946,2307,70,1
96,Jun 17 2019 13:20:52.061997000 MST,0.022994,3.04494,548,70,0
97,Jun 17 2019 13:20:52.070968000 MST,0.008971,3.053911,132,70,0
98,Jun 17 2019 13:20:52.102089000 MST,0.031121,3.085032,548,70,0
99,Jun 17 2019 13:20:52.142008000 MST,0.039919,3.124951,548,70,0
100,Jun 17 2019 13:20:52.147983000 MST,0.005975,3.130926,72,70,1
101,Jun 17 2019 13:20:52.182898000 MST,0.034915,3.165841,160,70,1
102,Jun 17 2019 13:20:52.188938000 MST,0.00604,3.171881,388,70,1
103,Jun 17 2019 13:20:52.190041000 MST,0.001103,3.172984,452,70,1
104,Jun 17 2019 13:20:52.222030000 MST,0.031989,3.204973,548,70,0
105,Jun 17 2019 13:20:52.302057000 MST,0.080027,3.285,548,70,0
106,Jun 17 2019 13:20:52.314907000 MST,0.01285,3.29785,148,70,1
107,Jun 17 2019 13:20:52.341986000 MST,0.027079,3.324929,548,70,0
108,Jun 17 2019 13:20:52.355013000 MST,0.013027,3.337956,88,70,1
109,Jun 17 2019 13:20:52.362024000 MST,0.007011,3.344967,548,70,0
110,Jun 17 2019 13:20:52.374050000 MST,0.012026,3.356993,88,70,1
111,Jun 17 2019 13:20:52.382072000 MST,0.008022,3.365015,548,70,0
112,Jun 17 2019 13:20:52.394934000 MST,0.012862,3.377877,72,70,1
113,Jun 17 2019 13:20:52.401943000 MST,0.007009,3.384886,548,70,0
114,Jun 17 2019 13:20:52.405974000 MST,0.004031,3.388917,3317,70,1
115,Jun 17 2019 13:20:52.442044000 MST,0.03607,3.424987,548,70,0
116,Jun 17 2019 13:20:52.454906000 MST,0.012862,3.437849,72,70,1
117,Jun 17 2019 13:20:52.456878000 MST,0.001972,3.439821,3317,70,1
118,Jun 17 2019 13:20:52.481969000 MST,0.025091,3.464912,548,70,0
119,Jun 17 2019 13:20:52.621974000 MST,0.140005,3.604917,548,70,0
120,Jun 17 2019 13:20:52.635004000 MST,0.01303,3.617947,340,70,1
121,Jun 17 2019 13:20:52.642018000 MST,0.007014,3.624961,548,70,0
122,Jun 17 2019 13:20:52.654869000 MST,0.012851,3.637812,340,70,1
123,Jun 17 2019 13:20:52.662062000 MST,0.007193,3.645005,548,70,0
124,Jun 17 2019 13:20:52.671041000 MST,0.008979,3.653984,192,70,0
125,Jun 17 2019 13:20:52.679972000 MST,0.008931,3.662915,500,70,0
126,Jun 17 2019 13:20:52.689035000 MST,0.009063,3.671978,764,70,0
127,Jun 17 2019 13:20:52.714000000 MST,0.024965,3.696943,1302,70,1
128,Jun 17 2019 13:20:52.722028000 MST,0.008028,3.704971,548,70,0
129,Jun 17 2019 13:20:52.729954000 MST,0.007926,3.712897,1302,70,1
130,Jun 17 2019 13:20:52.736840000 MST,0.006886,3.719783,128,70,1
131,Jun 17 2019 13:20:52.761949000 MST,0.025109,3.744892,548,70,0
132,Jun 17 2019 13:20:52.781991000 MST,0.020042,3.764934,548,70,0
133,Jun 17 2019 13:20:52.814913000 MST,0.032922,3.797856,72,70,1
134,Jun 17 2019 13:20:52.818992000 MST,0.004079,3.801935,1014,70,1
135,Jun 17 2019 13:20:52.822105000 MST,0.003113,3.805048,548,70,0
136,Jun 17 2019 13:20:52.824847000 MST,0.002742,3.80779,88,70,1
137,Jun 17 2019 13:20:52.862020000 MST,0.037173,3.844963,548,70,0
138,Jun 17 2019 13:20:52.866890000 MST,0.00487,3.849833,72,70,1
139,Jun 17 2019 13:20:52.882066000 MST,0.015176,3.865009,548,70,0
140,Jun 17 2019 13:20:52.905962000 MST,0.023896,3.888905,72,70,1
141,Jun 17 2019 13:20:52.908952000 MST,0.00299,3.891895,3978,70,1
142,Jun 17 2019 13:20:52.910047000 MST,0.001095,3.89299,2496,70,1
143,Jun 17 2019 13:20:52.942044000 MST,0.031997,3.924987,548,70,0
144,Jun 17 2019 13:20:53.022062000 MST,0.080018,4.005005,548,70,0
145,Jun 17 2019 13:20:53.030954000 MST,0.008892,4.013897,1014,70,0
146,Jun 17 2019 13:20:53.066006000 MST,0.035052,4.048949,364,70,1
147,Jun 17 2019 13:20:53.102083000 MST,0.036077,4.085026,548,70,0
148,Jun 17 2019 13:20:53.110973000 MST,0.00889,4.093916,918,70,0
149,Jun 17 2019 13:20:53.116933000 MST,0.00596,4.099876,72,70,1
150,Jun 17 2019 13:20:53.144931000 MST,0.027998,4.127874,216,70,1
151,Jun 17 2019 13:20:53.154035000 MST,0.009104,4.136978,72,70,1
152,Jun 17 2019 13:20:53.155963000 MST,0.001928,4.138906,388,70,1
153,Jun 17 2019 13:20:53.182112000 MST,0.026149,4.165055,548,70,0
154,Jun 17 2019 13:20:53.194970000 MST,0.012858,4.177913,88,70,1
155,Jun 17 2019 13:20:53.201974000 MST,0.007004,4.184917,548,70,0
156,Jun 17 2019 13:20:53.215016000 MST,0.013042,4.197959,88,70,1
157,Jun 17 2019 13:20:53.222026000 MST,0.00701,4.204969,548,70,0
158,Jun 17 2019 13:20:53.226041000 MST,0.004015,4.208984,88,70,1
159,Jun 17 2019 13:20:53.234899000 MST,0.008858,4.217842,72,70,1
160,Jun 17 2019 13:20:53.240959000 MST,0.00606,4.223902,232,70,1
161,Jun 17 2019 13:20:53.242090000 MST,0.001131,4.225033,548,70,0
162,Jun 17 2019 13:20:53.261955000 MST,0.019865,4.244898,548,70,0
163,Jun 17 2019 13:20:53.270969000 MST,0.009014,4.253912,516,70,0
164,Jun 17 2019 13:20:53.273962000 MST,0.002993,4.256905,72,70,1
165,Jun 17 2019 13:20:53.283895000 MST,0.009933,4.266838,72,70,1
166,Jun 17 2019 13:20:53.284927000 MST,0.001032,4.26787,240,70,1
167,Jun 17 2019 13:20:53.305889000 MST,0.020962,4.288832,72,70,1
168,Jun 17 2019 13:20:53.309973000 MST,0.004084,4.292916,2067,70,1
169,Jun 17 2019 13:20:53.316860000 MST,0.006887,4.299803,88,70,1
170,Jun 17 2019 13:20:53.322099000 MST,0.005239,4.305042,548,70,0
171,Jun 17 2019 13:20:53.341977000 MST,0.019878,4.32492,548,70,0
172,Jun 17 2019 13:20:53.350960000 MST,0.008983,4.333903,276,70,0
