frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jun 17 2019 12:56:38.540241000 MST,0,0,22,2,1
2,Jun 17 2019 12:56:38.550210000 MST,0.009969,0.009969,22,70,0
3,Jun 17 2019 12:56:38.567284000 MST,0.017074,0.027043,56,70,1
4,Jun 17 2019 12:56:38.605263000 MST,0.037979,0.065022,172,70,0
5,Jun 17 2019 12:56:38.606268000 MST,0.001005,0.066027,33,70,1
6,Jun 17 2019 12:56:38.607136000 MST,0.000868,0.066895,33,70,1
7,Jun 17 2019 12:56:38.625371000 MST,0.018235,0.08513,548,70,0
8,Jun 17 2019 12:56:38.626200000 MST,0.000829,0.085959,72,70,1
9,Jun 17 2019 12:56:38.645343000 MST,0.019143,0.105102,548,70,0
10,Jun 17 2019 12:56:38.785324000 MST,0.139981,0.245083,548,70,0
11,Jun 17 2019 12:56:38.786182000 MST,0.000858,0.245941,47,70,1
12,Jun 17 2019 12:56:38.787245000 MST,0.001063,0.247004,43,70,1
13,Jun 17 2019 12:56:38.805198000 MST,0.017953,0.264957,548,70,0
14,Jun 17 2019 12:56:38.806232000 MST,0.001034,0.265991,41,70,1
15,Jun 17 2019 12:56:38.825257000 MST,0.019025,0.285016,548,70,0
16,Jun 17 2019 12:56:38.826323000 MST,0.001066,0.286082,33,70,1
17,Jun 17 2019 12:56:38.845309000 MST,0.018986,0.305068,548,70,0
18,Jun 17 2019 12:56:38.846158000 MST,0.000849,0.305917,120,70,1
19,Jun 17 2019 12:56:38.847242000 MST,0.001084,0.307001,120,70,1
20,Jun 17 2019 12:56:38.865175000 MST,0.017933,0.324934,548,70,0
21,Jun 17 2019 12:56:38.866200000 MST,0.001025,0.325959,22,70,1
22,Jun 17 2019 12:56:38.905272000 MST,0.039072,0.365031,548,70,0
23,Jun 17 2019 12:56:38.906300000 MST,0.001028,0.366059,22,70,1
24,Jun 17 2019 12:56:39.049285000 MST,0.142985,0.509044,72,70,1
25,Jun 17 2019 12:56:39.085208000 MST,0.035923,0.544967,548,70,0
26,Jun 17 2019 12:56:40.365176000 MST,1.279968,1.824935,548,70,0
27,Jun 17 2019 12:56:40.379122000 MST,0.013946,1.838881,100,70,1
28,Jun 17 2019 12:56:40.404151000 MST,0.025029,1.86391,120,70,1
29,Jun 17 2019 12:56:40.465272000 MST,0.061121,1.925031,564,70,0
30,Jun 17 2019 12:56:40.515204000 MST,0.049932,1.974963,148,70,1
31,Jun 17 2019 12:56:40.525238000 MST,0.010034,1.984997,420,70,0
32,Jun 17 2019 12:56:40.538278000 MST,0.01304,1.998037,148,70,1
33,Jun 17 2019 12:56:40.545261000 MST,0.006983,2.00502,548,70,0
34,Jun 17 2019 12:56:40.565337000 MST,0.020076,2.025096,548,70,0
35,Jun 17 2019 12:56:40.574135000 MST,0.008798,2.033894,132,70,0
36,Jun 17 2019 12:56:40.578191000 MST,0.004056,2.03795,72,70,1
37,Jun 17 2019 12:56:40.580148000 MST,0.001957,2.039907,232,70,1
38,Jun 17 2019 12:56:40.587262000 MST,0.007114,2.047021,72,70,1
39,Jun 17 2019 12:56:40.597210000 MST,0.009948,2.056969,100,70,1
40,Jun 17 2019 12:56:40.605215000 MST,0.008005,2.064974,548,70,0
41,Jun 17 2019 12:56:40.614217000 MST,0.009002,2.073976,1398,70,1
42,Jun 17 2019 12:56:40.615102000 MST,0.000885,2.074861,1158,70,1
43,Jun 17 2019 12:56:40.617262000 MST,0.00216,2.077021,72,70,1
44,Jun 17 2019 12:56:40.645314000 MST,0.028052,2.105073,548,70,0
45,Jun 17 2019 12:56:40.665192000 MST,0.019878,2.124951,548,70,0
46,Jun 17 2019 12:56:40.678263000 MST,0.013071,2.138022,364,70,1
47,Jun 17 2019 12:56:40.705282000 MST,0.027019,2.165041,548,70,0
48,Jun 17 2019 12:56:40.718184000 MST,0.012902,2.177943,340,70,1
49,Jun 17 2019 12:56:40.720138000 MST,0.001954,2.179897,128,70,1
50,Jun 17 2019 12:56:40.745209000 MST,0.025071,2.204968,548,70,0
51,Jun 17 2019 12:56:40.758113000 MST,0.012904,2.217872,72,70,1
52,Jun 17 2019 12:56:40.805205000 MST,0.047092,2.264964,564,70,0
53,Jun 17 2019 12:56:40.838213000 MST,0.033008,2.297972,216,70,1
54,Jun 17 2019 12:56:40.865170000 MST,0.026957,2.324929,532,70,0
55,Jun 17 2019 12:56:40.908211000 MST,0.043041,2.36797,88,70,1
56,Jun 17 2019 12:56:40.945182000 MST,0.036971,2.404941,548,70,0
57,Jun 17 2019 12:56:40.988234000 MST,0.043052,2.447993,72,70,1
58,Jun 17 2019 12:56:40.991253000 MST,0.003019,2.451012,2139,70,1
59,Jun 17 2019 12:56:41.025205000 MST,0.033952,2.484964,548,70,0
60,Jun 17 2019 12:56:41.085164000 MST,0.059959,2.544923,548,70,0
61,Jun 17 2019 12:56:41.128225000 MST,0.043061,2.587984,88,70,1
62,Jun 17 2019 12:56:41.165184000 MST,0.036959,2.624943,548,70,0
63,Jun 17 2019 12:56:41.208270000 MST,0.043086,2.668029,72,70,1
64,Jun 17 2019 12:56:41.211280000 MST,0.00301,2.671039,612,70,1
65,Jun 17 2019 12:56:41.212155000 MST,0.000875,2.671914,1446,70,1
66,Jun 17 2019 12:56:41.245217000 MST,0.033062,2.704976,548,70,0
67,Jun 17 2019 12:56:41.265250000 MST,0.020033,2.725009,548,70,0
68,Jun 17 2019 12:56:41.325230000 MST,0.05998,2.784989,548,70,0
69,Jun 17 2019 12:56:41.370241000 MST,0.045011,2.83,88,70,1
70,Jun 17 2019 12:56:41.405254000 MST,0.035013,2.865013,548,70,0
71,Jun 17 2019 12:56:41.450263000 MST,0.045009,2.910022,72,70,1
72,Jun 17 2019 12:56:41.452267000 MST,0.002004,2.912026,1206,70,1
73,Jun 17 2019 12:56:41.453097000 MST,0.00083,2.912856,886,70,1
74,Jun 17 2019 12:56:41.485274000 MST,0.032177,2.945033,548,70,0
75,Jun 17 2019 12:56:41.499230000 MST,0.013956,2.958989,188,70,1
76,Jun 17 2019 12:56:41.505316000 MST,0.006086,2.965075,548,70,0
77,Jun 17 2019 12:56:41.585173000 MST,0.079857,3.044932,548,70,0
78,Jun 17 2019 12:56:41.605210000 MST,0.020037,3.064969,548,70,0
79,Jun 17 2019 12:56:41.627204000 MST,0.021994,3.086963,88,70,1
80,Jun 17 2019 12:56:41.628223000 MST,0.001019,3.087982,148,70,1
81,Jun 17 2019 12:56:41.645306000 MST,0.017083,3.105065,548,70,0
