frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jun 17 2019 13:33:55.353507000 MST,0,0,22,2,1
2,Jun 17 2019 13:33:55.363500000 MST,0.009993,0.009993,22,70,0
3,Jun 17 2019 13:33:55.379431000 MST,0.015931,0.025924,56,70,1
4,Jun 17 2019 13:33:55.418586000 MST,0.039155,0.065079,172,70,0
5,Jun 17 2019 13:33:55.419515000 MST,0.000929,0.066008,33,70,1
6,Jun 17 2019 13:33:55.420431000 MST,0.000916,0.066924,33,70,1
7,Jun 17 2019 13:33:55.438600000 MST,0.018169,0.085093,548,70,0
8,Jun 17 2019 13:33:55.439396000 MST,0.000796,0.085889,72,70,1
9,Jun 17 2019 13:33:55.458638000 MST,0.019242,0.105131,548,70,0
10,Jun 17 2019 13:33:55.598647000 MST,0.140009,0.24514,548,70,0
11,Jun 17 2019 13:33:55.599448000 MST,0.000801,0.245941,47,70,1
12,Jun 17 2019 13:33:55.600569000 MST,0.001121,0.247062,43,70,1
13,Jun 17 2019 13:33:55.618546000 MST,0.017977,0.265039,548,70,0
14,Jun 17 2019 13:33:55.619557000 MST,0.001011,0.26605,41,70,1
15,Jun 17 2019 13:33:55.638559000 MST,0.019002,0.285052,548,70,0
16,Jun 17 2019 13:33:55.639534000 MST,0.000975,0.286027,33,70,1
17,Jun 17 2019 13:33:55.658666000 MST,0.019132,0.305159,548,70,0
18,Jun 17 2019 13:33:55.659427000 MST,0.000761,0.30592,120,70,1
19,Jun 17 2019 13:33:55.660546000 MST,0.001119,0.307039,120,70,1
20,Jun 17 2019 13:33:55.678472000 MST,0.017926,0.324965,548,70,0
21,Jun 17 2019 13:33:55.679463000 MST,0.000991,0.325956,22,70,1
22,Jun 17 2019 13:33:55.718546000 MST,0.039083,0.365039,548,70,0
23,Jun 17 2019 13:33:55.719541000 MST,0.000995,0.366034,22,70,1
24,Jun 17 2019 13:33:55.860486000 MST,0.140945,0.506979,72,70,1
25,Jun 17 2019 13:33:55.878618000 MST,0.018132,0.525111,548,70,0
26,Jun 17 2019 13:33:57.718561000 MST,1.839943,2.365054,548,70,0
27,Jun 17 2019 13:33:57.734468000 MST,0.015907,2.380961,216,70,1
28,Jun 17 2019 13:33:57.738603000 MST,0.004135,2.385096,548,70,0
29,Jun 17 2019 13:33:57.758472000 MST,0.019869,2.404965,548,70,0
30,Jun 17 2019 13:33:57.771529000 MST,0.013057,2.418022,100,70,1
31,Jun 17 2019 13:33:57.788435000 MST,0.016906,2.434928,120,70,1
32,Jun 17 2019 13:33:57.808461000 MST,0.020026,2.454954,148,70,1
33,Jun 17 2019 13:33:57.818631000 MST,0.01017,2.465124,548,70,0
34,Jun 17 2019 13:33:57.823501000 MST,0.00487,2.469994,88,70,1
35,Jun 17 2019 13:33:57.831568000 MST,0.008067,2.478061,88,70,1
36,Jun 17 2019 13:33:57.838498000 MST,0.00693,2.484991,548,70,0
37,Jun 17 2019 13:33:57.840586000 MST,0.002088,2.487079,64,70,1
38,Jun 17 2019 13:33:57.851533000 MST,0.010947,2.498026,148,70,1
39,Jun 17 2019 13:33:57.858542000 MST,0.007009,2.505035,548,70,0
40,Jun 17 2019 13:33:57.867541000 MST,0.008999,2.514034,372,70,0
41,Jun 17 2019 13:33:57.871407000 MST,0.003866,2.5179,64,70,1
42,Jun 17 2019 13:33:57.878591000 MST,0.007184,2.525084,548,70,0
43,Jun 17 2019 13:33:57.879410000 MST,0.000819,2.525903,100,70,1
44,Jun 17 2019 13:33:57.880508000 MST,0.001098,2.527001,72,70,1
45,Jun 17 2019 13:33:57.882443000 MST,0.001935,2.528936,64,70,1
46,Jun 17 2019 13:33:57.883472000 MST,0.001029,2.529965,216,70,1
47,Jun 17 2019 13:33:57.891475000 MST,0.008003,2.537968,148,70,1
48,Jun 17 2019 13:33:57.910529000 MST,0.019054,2.557022,2496,70,1
49,Jun 17 2019 13:33:57.918519000 MST,0.00799,2.565012,548,70,0
50,Jun 17 2019 13:33:57.923392000 MST,0.004873,2.569885,72,70,1
51,Jun 17 2019 13:33:57.925527000 MST,0.002135,2.57202,3978,70,1
52,Jun 17 2019 13:33:57.926454000 MST,0.000927,2.572947,2880,70,1
53,Jun 17 2019 13:33:57.930559000 MST,0.004105,2.577052,64,70,1
54,Jun 17 2019 13:33:57.938567000 MST,0.008008,2.58506,548,70,0
55,Jun 17 2019 13:33:57.956439000 MST,0.017872,2.602932,136,70,1
56,Jun 17 2019 13:33:57.958620000 MST,0.002181,2.605113,548,70,0
57,Jun 17 2019 13:33:57.998536000 MST,0.039916,2.645029,548,70,0
58,Jun 17 2019 13:33:58.007516000 MST,0.00898,2.654009,128,70,0
59,Jun 17 2019 13:33:58.011401000 MST,0.003885,2.657894,420,70,1
60,Jun 17 2019 13:33:58.013531000 MST,0.00213,2.660024,3317,70,1
61,Jun 17 2019 13:33:58.020501000 MST,0.00697,2.666994,72,70,1
62,Jun 17 2019 13:33:58.022443000 MST,0.001942,2.668936,1398,70,1
63,Jun 17 2019 13:33:58.023465000 MST,0.001022,2.669958,2067,70,1
64,Jun 17 2019 13:33:58.038460000 MST,0.014995,2.684953,548,70,0
65,Jun 17 2019 13:33:58.047430000 MST,0.00897,2.693923,64,70,0
66,Jun 17 2019 13:33:58.056536000 MST,0.009106,2.703029,340,70,0
67,Jun 17 2019 13:33:58.060431000 MST,0.003895,2.706924,340,70,1
68,Jun 17 2019 13:33:58.098606000 MST,0.038175,2.745099,548,70,0
69,Jun 17 2019 13:33:58.110476000 MST,0.01187,2.756969,72,70,1
70,Jun 17 2019 13:33:58.111470000 MST,0.000994,2.757963,340,70,1
71,Jun 17 2019 13:33:58.118480000 MST,0.00701,2.764973,548,70,0
72,Jun 17 2019 13:33:58.121407000 MST,0.002927,2.7679,128,70,1
73,Jun 17 2019 13:33:58.131519000 MST,0.010112,2.778012,340,70,1
74,Jun 17 2019 13:33:58.138530000 MST,0.007011,2.785023,548,70,0
75,Jun 17 2019 13:33:58.147587000 MST,0.009057,2.79408,982,70,0
76,Jun 17 2019 13:33:58.156699000 MST,0.009112,2.803192,1302,70,0
77,Jun 17 2019 13:33:58.199476000 MST,0.042777,2.845969,1302,70,1
78,Jun 17 2019 13:33:58.200430000 MST,0.000954,2.846923,1302,70,1
79,Jun 17 2019 13:33:58.221476000 MST,0.021046,2.867969,1446,70,1
80,Jun 17 2019 13:33:58.238601000 MST,0.017125,2.885094,548,70,0
81,Jun 17 2019 13:33:58.258471000 MST,0.01987,2.904964,548,70,0
82,Jun 17 2019 13:33:58.279496000 MST,0.021025,2.925989,1014,70,1
83,Jun 17 2019 13:33:58.338501000 MST,0.059005,2.984994,548,70,0
84,Jun 17 2019 13:33:58.353485000 MST,0.014984,2.999978,128,70,1
85,Jun 17 2019 13:33:58.417576000 MST,0.064091,3.064069,188,70,1
86,Jun 17 2019 13:33:58.438571000 MST,0.020995,3.085064,548,70,0
87,Jun 17 2019 13:33:58.778524000 MST,0.339953,3.425017,548,70,0
88,Jun 17 2019 13:33:58.792482000 MST,0.013958,3.438975,216,70,1
89,Jun 17 2019 13:33:58.838491000 MST,0.046009,3.484984,548,70,0
90,Jun 17 2019 13:33:58.980577000 MST,0.142086,3.62707,88,70,1
91,Jun 17 2019 13:33:59.018591000 MST,0.038014,3.665084,548,70,0
92,Jun 17 2019 13:33:59.161502000 MST,0.142911,3.807995,72,70,1
93,Jun 17 2019 13:33:59.162431000 MST,0.000929,3.808924,1398,70,1
94,Jun 17 2019 13:33:59.198501000 MST,0.03607,3.844994,548,70,0
95,Jun 17 2019 13:33:59.318625000 MST,0.120124,3.965118,548,70,0
96,Jun 17 2019 13:33:59.460527000 MST,0.141902,4.10702,128,70,1
97,Jun 17 2019 13:33:59.498537000 MST,0.03801,4.14503,548,70,0
98,Jun 17 2019 13:33:59.518576000 MST,0.020039,4.165069,548,70,0
99,Jun 17 2019 13:33:59.678630000 MST,0.160054,4.325123,548,70,0
100,Jun 17 2019 13:33:59.700585000 MST,0.021955,4.347078,72,70,1
101,Jun 17 2019 13:33:59.711535000 MST,0.01095,4.358028,216,70,1
102,Jun 17 2019 13:33:59.738595000 MST,0.02706,4.385088,548,70,0
103,Jun 17 2019 13:33:59.781445000 MST,0.04285,4.427938,88,70,1
104,Jun 17 2019 13:33:59.798565000 MST,0.01712,4.445058,548,70,0
105,Jun 17 2019 13:33:59.812527000 MST,0.013962,4.45902,216,70,1
106,Jun 17 2019 13:33:59.838484000 MST,0.025957,4.484977,548,70,0
107,Jun 17 2019 13:33:59.878582000 MST,0.040098,4.525075,548,70,0
108,Jun 17 2019 13:33:59.880502000 MST,0.00192,4.526995,588,70,1
109,Jun 17 2019 13:33:59.881512000 MST,0.00101,4.528005,160,70,1
110,Jun 17 2019 13:33:59.884565000 MST,0.003053,4.531058,2067,70,1
111,Jun 17 2019 13:33:59.891469000 MST,0.006904,4.537962,120,70,1
