frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jul 26 2019 19:37:25.048661000 MST,0,0,22,2,1
2,Jul 26 2019 19:37:25.058591000 MST,0.00993,0.00993,22,70,0
3,Jul 26 2019 19:37:25.075730000 MST,0.017139,0.027069,56,70,1
4,Jul 26 2019 19:37:25.113689000 MST,0.037959,0.065028,172,70,0
5,Jul 26 2019 19:37:25.114669000 MST,0.00098,0.066008,34,70,1
6,Jul 26 2019 19:37:25.115725000 MST,0.001056,0.067064,34,70,1
7,Jul 26 2019 19:37:25.133744000 MST,0.018019,0.085083,548,70,0
8,Jul 26 2019 19:37:25.134750000 MST,0.001006,0.086089,72,70,1
9,Jul 26 2019 19:37:25.153810000 MST,0.01906,0.105149,548,70,0
10,Jul 26 2019 19:37:25.273675000 MST,0.119865,0.225014,548,70,0
11,Jul 26 2019 19:37:25.274677000 MST,0.001002,0.226016,47,70,1
12,Jul 26 2019 19:37:25.275566000 MST,0.000889,0.226905,43,70,1
13,Jul 26 2019 19:37:25.293725000 MST,0.018159,0.245064,532,70,0
14,Jul 26 2019 19:37:25.294565000 MST,0.00084,0.245904,41,70,1
15,Jul 26 2019 19:37:25.313772000 MST,0.019207,0.265111,548,70,0
16,Jul 26 2019 19:37:25.314605000 MST,0.000833,0.265944,22,70,1
17,Jul 26 2019 19:37:25.315666000 MST,0.001061,0.267005,33,70,1
18,Jul 26 2019 19:37:25.333664000 MST,0.017998,0.285003,548,70,0
19,Jul 26 2019 19:37:25.334660000 MST,0.000996,0.285999,120,70,1
20,Jul 26 2019 19:37:25.335712000 MST,0.001052,0.287051,120,70,1
21,Jul 26 2019 19:37:25.353702000 MST,0.01799,0.305041,548,70,0
22,Jul 26 2019 19:37:25.354704000 MST,0.001002,0.306043,22,70,1
23,Jul 26 2019 19:37:25.373747000 MST,0.019043,0.325086,548,70,0
24,Jul 26 2019 19:37:25.374572000 MST,0.000825,0.325911,22,70,1
25,Jul 26 2019 19:37:25.537614000 MST,0.163042,0.488953,72,70,1
26,Jul 26 2019 19:37:25.553672000 MST,0.016058,0.505011,548,70,0
27,Jul 26 2019 19:37:25.993680000 MST,0.440008,0.945019,548,70,0
28,Jul 26 2019 19:37:25.995568000 MST,0.001888,0.946907,64,70,1
29,Jul 26 2019 19:37:26.013721000 MST,0.018153,0.96506,548,70,0
30,Jul 26 2019 19:37:26.026630000 MST,0.012909,0.977969,64,70,1
31,Jul 26 2019 19:37:26.027659000 MST,0.001029,0.978998,100,70,1
32,Jul 26 2019 19:37:26.033584000 MST,0.005925,0.984923,548,70,0
33,Jul 26 2019 19:37:26.046675000 MST,0.013091,0.998014,64,70,1
34,Jul 26 2019 19:37:26.053613000 MST,0.006938,1.004952,548,70,0
35,Jul 26 2019 19:37:26.063678000 MST,0.010065,1.015017,120,70,1
36,Jul 26 2019 19:37:26.073683000 MST,0.010005,1.025022,548,70,0
37,Jul 26 2019 19:37:26.073707000 MST,0.000024,1.025046,612,70,1
38,Jul 26 2019 19:37:26.074714000 MST,0.001007,1.026053,2592,70,1
39,Jul 26 2019 19:37:26.086603000 MST,0.011889,1.037942,88,70,1
40,Jul 26 2019 19:37:26.093713000 MST,0.00711,1.045052,548,70,0
41,Jul 26 2019 19:37:26.093736000 MST,0.000023,1.045075,128,70,1
42,Jul 26 2019 19:37:26.106647000 MST,0.012911,1.057986,88,70,1
43,Jul 26 2019 19:37:26.113581000 MST,0.006934,1.06492,548,70,0
44,Jul 26 2019 19:37:26.122664000 MST,0.009083,1.074003,404,70,0
45,Jul 26 2019 19:37:26.126698000 MST,0.004034,1.078037,364,70,1
46,Jul 26 2019 19:37:26.131693000 MST,0.004995,1.083032,660,70,0
47,Jul 26 2019 19:37:26.135573000 MST,0.00388,1.086912,72,70,1
48,Jul 26 2019 19:37:26.136633000 MST,0.00106,1.087972,240,70,1
49,Jul 26 2019 19:37:26.144670000 MST,0.008037,1.096009,72,70,1
50,Jul 26 2019 19:37:26.145692000 MST,0.001022,1.097031,160,70,1
51,Jul 26 2019 19:37:26.153681000 MST,0.007989,1.10502,548,70,0
52,Jul 26 2019 19:37:26.171554000 MST,0.017873,1.122893,88,70,1
53,Jul 26 2019 19:37:26.173729000 MST,0.002175,1.125068,548,70,0
54,Jul 26 2019 19:37:26.190578000 MST,0.016849,1.141917,72,70,1
55,Jul 26 2019 19:37:26.193602000 MST,0.003024,1.144941,548,70,0
56,Jul 26 2019 19:37:26.202654000 MST,0.009052,1.153993,128,70,0
57,Jul 26 2019 19:37:26.203669000 MST,0.001015,1.155008,176,70,1
58,Jul 26 2019 19:37:26.211686000 MST,0.008017,1.163025,404,70,0
59,Jul 26 2019 19:37:26.224619000 MST,0.012933,1.175958,308,70,1
60,Jul 26 2019 19:37:26.233700000 MST,0.009081,1.185039,548,70,0
61,Jul 26 2019 19:37:26.242634000 MST,0.008934,1.193973,72,70,1
62,Jul 26 2019 19:37:26.243590000 MST,0.000956,1.194929,232,70,1
63,Jul 26 2019 19:37:26.245615000 MST,0.002025,1.196954,64,70,1
64,Jul 26 2019 19:37:26.246647000 MST,0.001032,1.197986,108,70,1
65,Jul 26 2019 19:37:26.273637000 MST,0.02699,1.224976,548,70,0
66,Jul 26 2019 19:37:26.293771000 MST,0.020134,1.24511,548,70,0
67,Jul 26 2019 19:37:26.318682000 MST,0.024911,1.270021,72,70,1
68,Jul 26 2019 19:37:26.353653000 MST,0.034971,1.304992,548,70,0
69,Jul 26 2019 19:37:26.393516000 MST,0.039863,1.344855,160,70,1
70,Jul 26 2019 19:37:26.397593000 MST,0.004077,1.348932,388,70,1
71,Jul 26 2019 19:37:26.433673000 MST,0.03608,1.385012,548,70,0
72,Jul 26 2019 19:37:26.993658000 MST,0.559985,1.944997,548,70,0
73,Jul 26 2019 19:37:26.995563000 MST,0.001905,1.946902,64,70,1
74,Jul 26 2019 19:37:27.013683000 MST,0.01812,1.965022,548,70,0
75,Jul 26 2019 19:37:27.026624000 MST,0.012941,1.977963,64,70,1
76,Jul 26 2019 19:37:27.037589000 MST,0.010965,1.988928,64,70,1
77,Jul 26 2019 19:37:27.066517000 MST,0.028928,2.017856,3197,70,1
78,Jul 26 2019 19:37:27.093710000 MST,0.027193,2.045049,548,70,0
79,Jul 26 2019 19:37:27.106649000 MST,0.012939,2.057988,364,70,1
80,Jul 26 2019 19:37:27.133651000 MST,0.027002,2.08499,548,70,0
81,Jul 26 2019 19:37:27.146572000 MST,0.012921,2.097911,256,70,1
82,Jul 26 2019 19:37:27.173746000 MST,0.027174,2.125085,548,70,0
83,Jul 26 2019 19:37:27.213646000 MST,0.0399,2.164985,548,70,0
84,Jul 26 2019 19:37:27.237616000 MST,0.02397,2.188955,72,70,1
85,Jul 26 2019 19:37:27.273647000 MST,0.036031,2.224986,548,70,0
86,Jul 26 2019 19:37:27.339611000 MST,0.065964,2.29095,1302,70,1
87,Jul 26 2019 19:37:27.340684000 MST,0.001073,2.292023,3837,70,1
88,Jul 26 2019 19:37:27.373699000 MST,0.033015,2.325038,548,70,0
89,Jul 26 2019 19:37:27.433707000 MST,0.060008,2.385046,548,70,0
90,Jul 26 2019 19:37:27.438619000 MST,0.004912,2.389958,1851,70,1
91,Jul 26 2019 19:37:27.446628000 MST,0.008009,2.397967,160,70,1
92,Jul 26 2019 19:37:27.473632000 MST,0.027004,2.424971,548,70,0
93,Jul 26 2019 19:37:27.482636000 MST,0.009004,2.433975,64,70,0
94,Jul 26 2019 19:37:27.491693000 MST,0.009057,2.443032,340,70,0
95,Jul 26 2019 19:37:27.538694000 MST,0.047001,2.490033,72,70,1
96,Jul 26 2019 19:37:27.546696000 MST,0.008002,2.498035,64,70,1
97,Jul 26 2019 19:37:27.548671000 MST,0.001975,2.50001,120,70,1
98,Jul 26 2019 19:37:27.573700000 MST,0.025029,2.525039,548,70,0
99,Jul 26 2019 19:37:27.582794000 MST,0.009094,2.534133,982,70,0
100,Jul 26 2019 19:37:27.638582000 MST,0.055788,2.589921,108,70,1
101,Jul 26 2019 19:37:27.641568000 MST,0.002986,2.592907,1302,70,1
102,Jul 26 2019 19:37:27.642667000 MST,0.001099,2.594006,3978,70,1
103,Jul 26 2019 19:37:27.643511000 MST,0.000844,2.59485,822,70,1
104,Jul 26 2019 19:37:27.647592000 MST,0.004081,2.598931,64,70,1
105,Jul 26 2019 19:37:27.672645000 MST,0.025053,2.623984,1014,70,1
106,Jul 26 2019 19:37:27.673765000 MST,0.00112,2.625104,548,70,0
107,Jul 26 2019 19:37:27.693630000 MST,0.019865,2.644969,548,70,0
108,Jul 26 2019 19:37:27.702639000 MST,0.009009,2.653978,822,70,1
109,Jul 26 2019 19:37:27.733734000 MST,0.031095,2.685073,548,70,0
110,Jul 26 2019 19:37:27.758700000 MST,0.024966,2.710039,176,70,1
111,Jul 26 2019 19:37:27.793703000 MST,0.035003,2.745042,548,70,0
112,Jul 26 2019 19:37:27.802799000 MST,0.009096,2.754138,982,70,0
113,Jul 26 2019 19:37:27.868788000 MST,0.065989,2.820127,248,70,1
114,Jul 26 2019 19:37:27.882547000 MST,0.013759,2.833886,420,70,1
115,Jul 26 2019 19:37:27.893595000 MST,0.011048,2.844934,548,70,0
116,Jul 26 2019 19:37:27.913612000 MST,0.020017,2.864951,548,70,0
117,Jul 26 2019 19:37:27.922814000 MST,0.009202,2.874153,1707,70,0
118,Jul 26 2019 19:37:27.923812000 MST,0.000998,2.875151,1707,70,0
119,Jul 26 2019 19:37:27.924584000 MST,0.000772,2.875923,47,70,0
120,Jul 26 2019 19:37:27.931801000 MST,0.007217,2.88314,1707,70,0
121,Jul 26 2019 19:37:27.938617000 MST,0.006816,2.889956,216,70,1
122,Jul 26 2019 19:37:27.958679000 MST,0.020062,2.910018,64,70,1
123,Jul 26 2019 19:37:27.973587000 MST,0.014908,2.924926,548,70,0
124,Jul 26 2019 19:37:27.982720000 MST,0.009133,2.934059,982,70,0
125,Jul 26 2019 19:37:27.982745000 MST,0.000025,2.934084,88,70,1
126,Jul 26 2019 19:37:27.987541000 MST,0.004796,2.93888,120,70,1
127,Jul 26 2019 19:37:27.988677000 MST,0.001136,2.940016,64,70,1
128,Jul 26 2019 19:37:27.997682000 MST,0.009005,2.949021,420,70,1
129,Jul 26 2019 19:37:28.013686000 MST,0.016004,2.965025,548,70,0
130,Jul 26 2019 19:37:28.022763000 MST,0.009077,2.974102,500,70,0
131,Jul 26 2019 19:37:28.022792000 MST,0.000029,2.974131,72,70,1
132,Jul 26 2019 19:37:28.026645000 MST,0.003853,2.977984,3978,70,1
133,Jul 26 2019 19:37:28.027653000 MST,0.001008,2.978992,2307,70,1
134,Jul 26 2019 19:37:28.031619000 MST,0.003966,2.982958,732,70,0
135,Jul 26 2019 19:37:28.037591000 MST,0.005972,2.98893,72,70,1
136,Jul 26 2019 19:37:28.040726000 MST,0.003135,2.992065,982,70,0
137,Jul 26 2019 19:37:28.047534000 MST,0.006808,2.998873,64,70,1
138,Jul 26 2019 19:37:28.049717000 MST,0.002183,3.001056,500,70,0
139,Jul 26 2019 19:37:28.058612000 MST,0.008895,3.009951,732,70,0
140,Jul 26 2019 19:37:28.067715000 MST,0.009103,3.019054,982,70,0
141,Jul 26 2019 19:37:28.071654000 MST,0.003939,3.022993,160,70,1
142,Jul 26 2019 19:37:28.077007000 MST,0.005353,3.028346,1707,70,0
143,Jul 26 2019 19:37:28.077036000 MST,0.000029,3.028375,388,70,1
144,Jul 26 2019 19:37:28.077748000 MST,0.000712,3.029087,1707,70,0
145,Jul 26 2019 19:37:28.078803000 MST,0.001055,3.030142,47,70,0
146,Jul 26 2019 19:37:28.085884000 MST,0.007081,3.037223,1542,70,0
147,Jul 26 2019 19:37:28.086591000 MST,0.000707,3.03793,72,70,1
148,Jul 26 2019 19:37:28.087621000 MST,0.00103,3.03896,308,70,1
149,Jul 26 2019 19:37:28.113609000 MST,0.025988,3.064948,548,70,0
150,Jul 26 2019 19:37:28.114624000 MST,0.001015,3.065963,64,70,1
151,Jul 26 2019 19:37:28.122779000 MST,0.008155,3.074118,1707,70,0
152,Jul 26 2019 19:37:28.122825000 MST,0.000046,3.074164,64,70,1
153,Jul 26 2019 19:37:28.123781000 MST,0.000956,3.07512,1302,70,0
154,Jul 26 2019 19:37:28.123807000 MST,0.000026,3.075146,248,70,1
155,Jul 26 2019 19:37:28.125624000 MST,0.001817,3.076963,484,70,1
156,Jul 26 2019 19:37:28.126699000 MST,0.001075,3.078038,1014,70,1
157,Jul 26 2019 19:37:28.131803000 MST,0.005104,3.083142,1707,70,0
158,Jul 26 2019 19:37:28.153735000 MST,0.021932,3.105074,548,70,0
159,Jul 26 2019 19:37:28.161610000 MST,0.007875,3.112949,72,70,1
160,Jul 26 2019 19:37:28.162880000 MST,0.00127,3.114219,1707,70,0
161,Jul 26 2019 19:37:28.163703000 MST,0.000823,3.115042,1707,70,0
162,Jul 26 2019 19:37:28.164696000 MST,0.000993,3.116035,47,70,0
163,Jul 26 2019 19:37:28.171683000 MST,0.006987,3.123022,1707,70,0
164,Jul 26 2019 19:37:28.178676000 MST,0.006993,3.130015,72,70,1
165,Jul 26 2019 19:37:28.186685000 MST,0.008009,3.138024,64,70,1
