frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jul 26 2019 19:43:12.267842000 MST,0,0,22,2,1
2,Jul 26 2019 19:43:12.277966000 MST,0.010124,0.010124,22,70,0
3,Jul 26 2019 19:43:12.293948000 MST,0.015982,0.026106,56,70,1
4,Jul 26 2019 19:43:12.332845000 MST,0.038897,0.065003,172,70,0
5,Jul 26 2019 19:43:12.333808000 MST,0.000963,0.065966,34,70,1
6,Jul 26 2019 19:43:12.334873000 MST,0.001065,0.067031,34,70,1
7,Jul 26 2019 19:43:12.352877000 MST,0.018004,0.085035,548,70,0
8,Jul 26 2019 19:43:12.353866000 MST,0.000989,0.086024,72,70,1
9,Jul 26 2019 19:43:12.372912000 MST,0.019046,0.10507,548,70,0
10,Jul 26 2019 19:43:12.492845000 MST,0.119933,0.225003,548,70,0
11,Jul 26 2019 19:43:12.493844000 MST,0.000999,0.226002,47,70,1
12,Jul 26 2019 19:43:12.494912000 MST,0.001068,0.22707,43,70,1
13,Jul 26 2019 19:43:12.512874000 MST,0.017962,0.245032,548,70,0
14,Jul 26 2019 19:43:12.513931000 MST,0.001057,0.246089,41,70,1
15,Jul 26 2019 19:43:12.532952000 MST,0.019021,0.26511,548,70,0
16,Jul 26 2019 19:43:12.533770000 MST,0.000818,0.265928,22,70,1
17,Jul 26 2019 19:43:12.534840000 MST,0.00107,0.266998,33,70,1
18,Jul 26 2019 19:43:12.552850000 MST,0.01801,0.285008,548,70,0
19,Jul 26 2019 19:43:12.553820000 MST,0.00097,0.285978,120,70,1
20,Jul 26 2019 19:43:12.554887000 MST,0.001067,0.287045,120,70,1
21,Jul 26 2019 19:43:12.572867000 MST,0.01798,0.305025,548,70,0
22,Jul 26 2019 19:43:12.573857000 MST,0.00099,0.306015,22,70,1
23,Jul 26 2019 19:43:12.592916000 MST,0.019059,0.325074,548,70,0
24,Jul 26 2019 19:43:12.593732000 MST,0.000816,0.32589,22,70,1
25,Jul 26 2019 19:43:12.761764000 MST,0.168032,0.493922,72,70,1
26,Jul 26 2019 19:43:12.792897000 MST,0.031133,0.525055,548,70,0
27,Jul 26 2019 19:43:13.192834000 MST,0.399937,0.924992,548,70,0
28,Jul 26 2019 19:43:13.205925000 MST,0.013091,0.938083,88,70,1
29,Jul 26 2019 19:43:13.212876000 MST,0.006951,0.945034,548,70,0
30,Jul 26 2019 19:43:13.226842000 MST,0.013966,0.959,100,70,1
31,Jul 26 2019 19:43:13.232900000 MST,0.006058,0.965058,548,70,0
32,Jul 26 2019 19:43:13.245817000 MST,0.012917,0.977975,72,70,1
33,Jul 26 2019 19:43:13.252965000 MST,0.007148,0.985123,548,70,0
34,Jul 26 2019 19:43:13.262840000 MST,0.009875,0.994998,120,70,1
35,Jul 26 2019 19:43:13.265857000 MST,0.003017,0.998015,88,70,1
36,Jul 26 2019 19:43:13.273948000 MST,0.008091,1.006106,1398,70,1
37,Jul 26 2019 19:43:13.274890000 MST,0.000942,1.007048,1851,70,1
38,Jul 26 2019 19:43:13.292870000 MST,0.01798,1.025028,548,70,0
39,Jul 26 2019 19:43:13.292906000 MST,0.000036,1.025064,128,70,1
40,Jul 26 2019 19:43:13.301910000 MST,0.009004,1.034068,372,70,0
41,Jul 26 2019 19:43:13.305793000 MST,0.003883,1.037951,88,70,1
42,Jul 26 2019 19:43:13.310977000 MST,0.005184,1.043135,660,70,0
43,Jul 26 2019 19:43:13.314808000 MST,0.003831,1.046966,72,70,1
44,Jul 26 2019 19:43:13.315874000 MST,0.001066,1.048032,240,70,1
45,Jul 26 2019 19:43:13.323907000 MST,0.008033,1.056065,364,70,1
46,Jul 26 2019 19:43:13.332785000 MST,0.008878,1.064943,548,70,0
47,Jul 26 2019 19:43:13.345861000 MST,0.013076,1.078019,72,70,1
48,Jul 26 2019 19:43:13.346739000 MST,0.000878,1.078897,160,70,1
49,Jul 26 2019 19:43:13.350823000 MST,0.004084,1.082981,88,70,1
50,Jul 26 2019 19:43:13.352825000 MST,0.002002,1.084983,548,70,0
51,Jul 26 2019 19:43:13.369812000 MST,0.016987,1.10197,72,70,1
52,Jul 26 2019 19:43:13.392921000 MST,0.023109,1.125079,548,70,0
