frame.number,frame.time,frame.time_delta,frame.cumulative,frame.len,mac-lte.rnti,mac-lte.direction,Application
72,Jul 26 2019 19:24:41.816218000 MST,0.013081,1.628125,72,70,1,amazon
73,Jul 26 2019 19:24:41.844089000 MST,0.027871,1.655996,2784,70,1,amazon
74,Jul 26 2019 19:24:41.845135000 MST,0.001046,1.657042,420,70,1,amazon
75,Jul 26 2019 19:24:41.863288000 MST,0.018153,1.675195,548,70,0,amazon
76,Jul 26 2019 19:24:41.883154000 MST,0.019866,1.695061,548,70,0,amazon
77,Jul 26 2019 19:24:41.896117000 MST,0.012963,1.708024,364,70,1,amazon
78,Jul 26 2019 19:24:41.923237000 MST,0.02712,1.735144,532,70,0,amazon
79,Jul 26 2019 19:24:41.936165000 MST,0.012928,1.748072,188,70,1,amazon
80,Jul 26 2019 19:24:41.963182000 MST,0.027017,1.775089,532,70,0,amazon
81,Jul 26 2019 19:24:41.963196000 MST,1.40E-05,1.775103,340,70,1,amazon
82,Jul 26 2019 19:24:41.983254000 MST,0.020058,1.795161,532,70,0,amazon
83,Jul 26 2019 19:24:41.996135000 MST,0.012881,1.808042,88,70,1,amazon
84,Jul 26 2019 19:24:42.023162000 MST,0.027027,1.835069,548,70,0,amazon
85,Jul 26 2019 19:24:42.029106000 MST,0.005944,1.841013,72,70,1,amazon
86,Jul 26 2019 19:24:42.036231000 MST,0.007125,1.848138,72,70,1,amazon
87,Jul 26 2019 19:24:42.063225000 MST,0.026994,1.875132,548,70,0,amazon
88,Jul 26 2019 19:24:42.065127000 MST,0.001902,1.877034,1398,70,1,amazon
89,Jul 26 2019 19:24:42.066203000 MST,0.001076,1.87811,2592,70,1,amazon
90,Jul 26 2019 19:24:42.083095000 MST,0.016892,1.895002,548,70,0,amazon
91,Jul 26 2019 19:24:42.103151000 MST,0.020056,1.915058,548,70,0,amazon
92,Jul 26 2019 19:24:42.116060000 MST,0.012909,1.927967,128,70,1,amazon
93,Jul 26 2019 19:24:42.129148000 MST,0.013088,1.941055,108,70,1,amazon
94,Jul 26 2019 19:24:42.131129000 MST,0.001981,1.943036,3978,70,1,amazon
95,Jul 26 2019 19:24:42.132207000 MST,0.001078,1.944114,886,70,1,amazon
96,Jul 26 2019 19:24:42.143245000 MST,0.011038,1.955152,548,70,0,amazon
97,Jul 26 2019 19:24:42.157020000 MST,0.013775,1.968927,284,70,1,amazon
98,Jul 26 2019 19:24:42.158161000 MST,0.001141,1.970068,72,70,1,amazon
99,Jul 26 2019 19:24:42.163129000 MST,0.004968,1.975036,532,70,0,amazon
100,Jul 26 2019 19:24:42.172338000 MST,0.009209,1.984245,1446,70,0,amazon
101,Jul 26 2019 19:24:42.173368000 MST,0.00103,1.985275,1446,70,0,amazon
102,Jul 26 2019 19:24:42.174271000 MST,0.000903,1.986178,1446,70,0,amazon
103,Jul 26 2019 19:24:42.175336000 MST,0.001065,1.987243,1302,70,0,amazon
104,Jul 26 2019 19:24:42.176394000 MST,0.001058,1.988301,1446,70,0,amazon
105,Jul 26 2019 19:24:42.177258000 MST,0.000864,1.989165,1446,70,0,amazon
106,Jul 26 2019 19:24:42.178355000 MST,0.001097,1.990262,1446,70,0,amazon
107,Jul 26 2019 19:24:42.179205000 MST,0.00085,1.991112,1446,70,0,amazon
108,Jul 26 2019 19:24:42.180286000 MST,0.001081,1.992193,1158,70,0,amazon
109,Jul 26 2019 19:24:42.181308000 MST,0.001022,1.993215,1158,70,0,amazon
110,Jul 26 2019 19:24:42.182229000 MST,0.000921,1.994136,1158,70,0,amazon
111,Jul 26 2019 19:24:42.183225000 MST,0.000996,1.995132,886,70,0,amazon
112,Jul 26 2019 19:24:42.184351000 MST,0.001126,1.996258,1158,70,0,amazon
113,Jul 26 2019 19:24:42.185265000 MST,0.000914,1.997172,1158,70,0,amazon
114,Jul 26 2019 19:24:42.186322000 MST,0.001057,1.998229,1158,70,0,amazon
115,Jul 26 2019 19:24:42.186354000 MST,3.20E-05,1.998261,72,70,1,amazon
116,Jul 26 2019 19:24:42.187365000 MST,0.001011,1.999272,1158,70,0,amazon
117,Jul 26 2019 19:24:42.187375000 MST,1.00E-05,1.999282,72,70,1,amazon
118,Jul 26 2019 19:24:42.188254000 MST,0.000879,2.000161,1158,70,0,amazon
119,Jul 26 2019 19:24:42.189120000 MST,0.000866,2.001027,72,70,1,amazon
120,Jul 26 2019 19:24:42.191065000 MST,0.001945,2.002972,72,70,1,amazon
121,Jul 26 2019 19:24:42.193016000 MST,0.001951,2.004923,72,70,1,amazon
122,Jul 26 2019 19:24:42.203213000 MST,0.010197,2.01512,548,70,0,amazon
123,Jul 26 2019 19:24:42.212219000 MST,0.009006,2.024126,1158,70,0,amazon
124,Jul 26 2019 19:24:42.213241000 MST,0.001022,2.025148,1158,70,0,amazon
125,Jul 26 2019 19:24:42.214351000 MST,0.00111,2.026258,1158,70,0,amazon
126,Jul 26 2019 19:24:42.215236000 MST,0.000885,2.027143,1014,70,0,amazon
127,Jul 26 2019 19:24:42.216297000 MST,0.001061,2.028204,1158,70,0,amazon
128,Jul 26 2019 19:24:42.221228000 MST,0.004931,2.033135,1158,70,0,amazon
129,Jul 26 2019 19:24:42.222316000 MST,0.001088,2.034223,1158,70,0,amazon
130,Jul 26 2019 19:24:42.223177000 MST,0.000861,2.035084,1158,70,0,amazon
131,Jul 26 2019 19:24:42.224263000 MST,0.001086,2.03617,1158,70,0,amazon
132,Jul 26 2019 19:24:42.225466000 MST,0.001203,2.037373,1158,70,0,amazon
133,Jul 26 2019 19:24:42.225501000 MST,3.50E-05,2.037408,72,70,1,amazon
134,Jul 26 2019 19:24:42.226223000 MST,0.000722,2.03813,1158,70,0,amazon
135,Jul 26 2019 19:24:42.229040000 MST,0.002817,2.040947,72,70,1,amazon
136,Jul 26 2019 19:24:42.230347000 MST,0.001307,2.042254,1158,70,0,amazon
137,Jul 26 2019 19:24:42.231340000 MST,0.000993,2.043247,1158,70,0,amazon
138,Jul 26 2019 19:24:42.235112000 MST,0.003772,2.047019,72,70,1,amazon
139,Jul 26 2019 19:24:42.237045000 MST,0.001933,2.048952,72,70,1,amazon
140,Jul 26 2019 19:24:42.238127000 MST,0.001082,2.050034,72,70,1,amazon
141,Jul 26 2019 19:24:42.263185000 MST,0.025058,2.075092,548,70,0,amazon
142,Jul 26 2019 19:24:42.283204000 MST,0.020019,2.095111,548,70,0,amazon
143,Jul 26 2019 19:24:42.330216000 MST,0.047012,2.142123,3978,70,1,amazon
144,Jul 26 2019 19:24:42.331061000 MST,0.000845,2.142968,1158,70,1,amazon
145,Jul 26 2019 19:24:42.349157000 MST,0.018096,2.161064,188,70,1,amazon
146,Jul 26 2019 19:24:42.363233000 MST,0.014076,2.17514,532,70,0,amazon
147,Jul 26 2019 19:24:42.372295000 MST,0.009062,2.184202,1158,70,0,amazon
148,Jul 26 2019 19:24:42.373292000 MST,0.000997,2.185199,1158,70,0,amazon
149,Jul 26 2019 19:24:42.374413000 MST,0.001121,2.18632,1158,70,0,amazon
150,Jul 26 2019 19:24:42.375264000 MST,0.000851,2.187171,1014,70,0,amazon
151,Jul 26 2019 19:24:42.376352000 MST,0.001088,2.188259,1158,70,0,amazon
152,Jul 26 2019 19:24:42.377192000 MST,0.00084,2.189099,1158,70,0,amazon
153,Jul 26 2019 19:24:42.378302000 MST,0.00111,2.190209,1158,70,0,amazon
154,Jul 26 2019 19:24:42.379293000 MST,0.000991,2.1912,1014,70,0,amazon
155,Jul 26 2019 19:24:42.381183000 MST,0.00189,2.19309,886,70,0,amazon
156,Jul 26 2019 19:24:42.382316000 MST,0.001133,2.194223,886,70,0,amazon
157,Jul 26 2019 19:24:42.383133000 MST,0.000817,2.19504,708,70,0,amazon
158,Jul 26 2019 19:24:42.384261000 MST,0.001128,2.196168,886,70,0,amazon
159,Jul 26 2019 19:24:42.385339000 MST,0.001078,2.197246,708,70,0,amazon
160,Jul 26 2019 19:24:42.386234000 MST,0.000895,2.198141,886,70,0,amazon
161,Jul 26 2019 19:24:42.387242000 MST,0.001008,2.199149,886,70,0,amazon
162,Jul 26 2019 19:24:42.388189000 MST,0.000947,2.200096,886,70,0,amazon
163,Jul 26 2019 19:24:42.389188000 MST,0.000999,2.201095,708,70,0,amazon
164,Jul 26 2019 19:24:42.390303000 MST,0.001115,2.20221,708,70,0,amazon
165,Jul 26 2019 19:24:42.391136000 MST,0.000833,2.203043,708,70,0,amazon
166,Jul 26 2019 19:24:42.428159000 MST,0.037023,2.240066,1851,70,1,amazon
167,Jul 26 2019 19:24:42.439112000 MST,0.010953,2.251019,64,70,1,amazon
168,Jul 26 2019 19:24:42.441061000 MST,0.001949,2.252968,64,70,1,amazon
169,Jul 26 2019 19:24:42.443013000 MST,0.001952,2.25492,64,70,1,amazon
170,Jul 26 2019 19:24:42.447121000 MST,0.004108,2.259028,64,70,1,amazon
171,Jul 26 2019 19:24:42.450157000 MST,0.003036,2.262064,64,70,1,amazon
172,Jul 26 2019 19:24:42.463174000 MST,0.013017,2.275081,564,70,0,amazon
173,Jul 26 2019 19:24:42.472287000 MST,0.009113,2.284194,708,70,0,amazon
174,Jul 26 2019 19:24:42.473123000 MST,0.000836,2.28503,708,70,0,amazon
175,Jul 26 2019 19:24:42.474234000 MST,0.001111,2.286141,708,70,0,amazon
176,Jul 26 2019 19:24:42.475266000 MST,0.001032,2.287173,636,70,0,amazon
177,Jul 26 2019 19:24:42.476169000 MST,0.000903,2.288076,708,70,0,amazon
178,Jul 26 2019 19:24:42.477205000 MST,0.001036,2.289112,708,70,0,amazon
179,Jul 26 2019 19:24:42.478276000 MST,0.001071,2.290183,708,70,0,amazon
180,Jul 26 2019 19:24:42.479171000 MST,0.000895,2.291078,708,70,0,amazon
181,Jul 26 2019 19:24:42.480230000 MST,0.001059,2.292137,708,70,0,amazon
182,Jul 26 2019 19:24:42.481282000 MST,0.001052,2.293189,708,70,0,amazon
183,Jul 26 2019 19:24:42.482179000 MST,0.000897,2.294086,708,70,0,amazon
