rnti,block_size,timestamp,UL/DL,delta
0x715f,660,16:26:38.940967,1,0
0x715f,356,16:26:38.941007,1,4.62962890246388E-10
0x715f,404,16:26:39.565423,1,7.22703703703864E-06
0x715f,124,16:26:39.565437,1,1.62037050444042E-10
0x715f,332,16:26:40.107958,1,6.2791782406979E-06
0x715f,1542,16:41:15.391317,1,0.010130594432871
0x715f,1046,16:41:15.393039,1,1.99305555392826E-08
0x715f,1110,16:41:15.395080,1,2.36226851413335E-08
0x715f,22,16:41:15.814654,1,4.85618055556802E-06
0x715f,404,16:41:15.825793,1,1.28923611120158E-07
0x715f,200,16:41:15.825808,1,1.73611125475759E-10
0x715f,1254,16:41:15.831794,1,6.92824073666998E-08
0x715f,684,16:41:15.831812,1,2.08333350570911E-10
0x715f,22,16:41:15.840801,1,1.04039351800367E-07
0x715f,2496,16:41:15.873683,1,3.80578703773615E-07
0x715f,22,16:41:15.898632,1,2.88761573985497E-07
0x715f,3077,16:41:15.914600,1,1.84814814896406E-07
0x715f,216,16:41:15.958593,1,5.09178240792885E-07
0x715f,2592,16:41:15.967650,1,1.04826388791501E-07
0x715f,2880,16:41:15.969316,1,1.92824074485287E-08
0x715f,2400,16:41:15.973086,1,4.36342592058381E-08
0x715f,1254,16:41:15.993961,1,2.41608796303083E-07
0x715f,452,16:41:15.996594,1,3.04745370049986E-08
0x715f,1779,16:41:16.012264,1,1.81365740758999E-07
0x715f,1707,16:41:16.705780,1,8.02680555556101E-06
0x715f,1254,16:41:16.707122,1,1.55324074713192E-08
0x715f,2784,16:41:16.744662,1,4.3449074071944E-07
0x715f,128,16:41:16.847676,1,1.19229166661849E-06
0x715f,72,16:41:16.847692,1,1.85185311529779E-10
0x715f,128,16:41:16.851632,1,4.56018517391854E-08
0x715f,72,16:41:16.851664,1,3.70370401014952E-10
0x715f,200,16:41:16.860683,1,1.04386574051318E-07
0x715f,2592,16:41:16.861739,1,1.22222222342927E-08
0x715f,200,16:41:16.863326,1,1.83680555210231E-08
0x715f,1587,16:41:16.863905,1,6.70138888825278E-09
0x715f,1206,16:41:16.880867,1,1.96319444478732E-07
0x715f,2784,16:41:16.884710,1,4.44791666831534E-08
0x715f,2976,16:41:16.908957,1,2.80636574090387E-07
0x715f,1542,16:41:16.914582,1,6.51041666133168E-08
0x715f,452,16:41:16.947497,1,3.80960648249662E-07
0x715f,1707,16:41:17.105306,1,1.82649305546789E-06
0x715f,1542,16:41:17.616617,1,5.91795138893403E-06
0x715f,26,16:41:17.678832,1,7.20081018479313E-07
0x715f,2976,16:41:17.688424,1,1.11018518600403E-07
0x715f,532,16:41:17.688440,1,1.85185089485174E-10
0x715f,1302,16:41:17.695825,1,8.54745371148269E-08
0x715f,1302,16:41:17.700813,1,5.77314814842467E-08
0x715f,3197,16:41:17.734686,1,3.92048611130846E-07
0x715f,26,16:41:17.756876,1,2.56828703637524E-07
0x715f,1398,16:41:17.797701,1,4.72511574090007E-07
0x715f,1110,16:41:17.808730,1,1.27650462866669E-07
0x715f,1923,16:41:17.820700,1,1.38541666694358E-07
0x715f,26,16:41:17.828798,1,9.37268519463075E-08
0x715f,1446,16:41:17.834627,1,6.74652776977425E-08
0x715f,1350,16:41:17.838762,1,4.78587963703703E-08
0x715f,982,16:41:17.840702,1,2.24537036741523E-08
0x715f,636,16:41:17.841695,1,1.14930556183168E-08
0x715f,1707,16:41:17.854547,1,1.48749999984155E-07
0x715f,1014,16:41:17.864639,1,1.16805555450128E-07
0x715f,1542,16:41:17.865646,1,1.16550926687609E-08
0x715f,1158,16:41:17.897699,1,3.70983796238455E-07
0x715f,886,16:41:17.907498,1,1.13414351909924E-07
0x715f,660,16:41:17.908608,1,1.28472221749831E-08
0x715f,1254,16:41:17.947249,1,4.4723379633016E-07
0x715f,1851,16:41:17.956656,1,1.08877314830558E-07
0x715f,732,16:41:17.959289,1,3.04745370049986E-08
0x715f,732,16:41:17.966237,1,8.04166666590334E-08
0x715f,2592,16:41:17.971922,1,6.57986111152198E-08
0x715f,500,16:41:17.973271,1,1.56134259965413E-08
0x715f,26,16:41:18.115724,1,1.64876157404681E-06
0x715f,26,16:41:18.348673,1,2.69616898140868E-06
0x715f,588,16:41:18.407672,1,6.82858796396957E-07
0x715f,2139,16:41:18.445835,1,4.41701388798066E-07
0x715f,790,16:41:18.447242,1,1.62847222373586E-08
0x715f,1923,16:41:18.452831,1,6.46875000231972E-08
0x715f,2067,16:41:18.454194,1,1.5775462935963E-08
0x715f,1995,16:41:18.455677,1,1.71643518287468E-08
0x715f,1398,16:41:18.500798,1,5.22233796318439E-07
0x715f,356,16:41:19.083717,1,6.74674768519346E-06
0x715f,356,16:41:19.091798,1,9.35300926707683E-08
0x715f,26,16:41:19.149147,1,6.63761573926891E-07
0x715f,26,16:41:19.165989,1,1.94930555696971E-07
0x715f,2139,16:41:19.245767,1,9.23356481385973E-07
0x715f,26,16:41:19.296866,1,5.91423611084885E-07
0x715f,2592,16:41:19.305143,1,9.57986111549403E-08
0x715f,324,16:41:19.306807,1,1.92592592984653E-08
0x715f,26,16:41:19.325088,1,2.11585648113299E-07
0x715f,1014,16:41:19.549379,1,2.59596064811074E-06
0x715f,26,16:41:19.638882,1,1.03591435185457E-06
0x715f,950,16:41:19.654677,1,1.82812500026941E-07
0x715f,22,16:41:19.687432,1,3.79108796355609E-07
0x715f,636,16:41:19.694480,1,8.15740740511828E-08
0x715f,300,16:41:19.695508,1,1.18981481334046E-08
0x715f,950,16:41:19.702678,1,8.298611109403E-08
0x715f,26,16:41:19.705977,1,3.81828704210108E-08
0x715f,128,16:41:19.707895,1,2.21990740234546E-08
0x715f,26,16:41:19.714376,1,7.50115741743329E-08
0x715f,26,16:41:19.722716,1,9.65277776598938E-08
0x715f,100,16:41:19.725580,1,3.31481481152807E-08
0x715f,1046,16:41:19.734569,1,1.04039351911389E-07
0x715f,1494,16:41:19.742559,1,9.2476851842882E-08
0x715f,240,16:41:19.743641,1,1.25231481851174E-08
0x715f,324,16:41:19.760683,1,1.97245370370247E-07
0x715f,22,16:41:19.768331,1,8.85185185151016E-08
0x715f,26,16:41:19.773723,1,6.24074073529712E-08
0x715f,1587,16:41:19.774537,1,9.42129629866173E-09
0x715f,26,16:41:19.781412,1,7.95717592927403E-08
0x715f,1398,16:41:19.783678,1,2.62268518014253E-08
0x715f,1779,16:41:19.784706,1,1.18981481334046E-08
0x715f,2880,16:41:19.786007,1,1.50578705060411E-08
0x715f,332,16:41:19.787743,1,2.00925925897266E-08
0x715f,1110,16:41:19.794472,1,7.78819444491319E-08
0x715f,264,16:41:19.795758,1,1.48842591585208E-08
0x715f,300,16:41:19.799534,1,4.37037037670507E-08
0x715f,708,16:41:19.800842,1,1.51388888092185E-08
0x715f,1254,16:41:19.811608,1,1.24606481577416E-07
0x715f,240,16:41:19.812677,1,1.2372685209705E-08
0x715f,1587,16:41:19.818375,1,6.59490739796098E-08
0x715f,2592,16:41:19.819657,1,1.48379629694162E-08
0x715f,1046,16:41:19.820821,1,1.34722222266959E-08
0x715f,22,16:41:19.821496,1,7.81249998027533E-09
0x715f,2880,16:41:19.827474,1,6.91898148774683E-08
0x715f,2139,16:41:19.828882,1,1.62962963123903E-08
0x715f,372,16:41:19.830190,1,1.51388888092185E-08
0x715f,26,16:41:19.861556,1,3.63032407468822E-07
0x715f,1446,16:41:19.868804,1,8.38888888354816E-08
0x715f,128,16:41:19.869966,1,1.34490740766324E-08
0x715f,2784,16:41:19.877600,1,8.83564814646576E-08
0x715f,2592,16:41:19.878963,1,1.57754630469853E-08
0x715f,1995,16:41:19.880270,1,1.51273147341868E-08
0x715f,468,16:41:19.881339,1,1.2372685209705E-08
0x715f,764,16:41:19.903702,1,2.58831018618011E-07
0x715f,732,16:41:19.914506,1,1.25046296206577E-07
0x715f,612,16:41:19.923557,1,1.04756944452333E-07
0x715f,886,16:41:19.924694,1,1.31597222008395E-08
0x715f,790,16:41:19.925681,1,1.14236111681265E-08
0x715f,886,16:41:19.926769,1,1.25925925242854E-08
0x715f,2067,16:41:19.927690,1,1.06597222160332E-08
0x715f,3077,16:41:19.928777,1,1.25810185602759E-08
0x715f,1110,16:41:19.930395,1,1.87268518470063E-08
0x715f,790,16:41:19.933684,1,3.80671296706936E-08
0x715f,548,16:41:19.939559,1,6.79976851492015E-08
0x715f,468,16:41:19.940672,1,1.28819444000783E-08
0x715f,1398,16:41:19.965635,1,2.88923611146963E-07
0x715f,1923,16:41:19.972786,1,8.27662036684274E-08
0x715f,300,16:41:19.976556,1,4.36342593168604E-08
0x715f,240,16:41:19.985579,1,1.04432870351445E-07
0x715f,176,16:41:19.986610,1,1.19328703584998E-08
0x715f,26,16:41:19.994590,1,9.23611110925648E-08
0x715f,26,16:41:20.018709,1,2.79155092708372E-07
0x715f,26,16:41:20.048473,1,3.44490740711301E-07
0x715f,26,16:41:20.125564,1,8.92256944440284E-07
0x715f,26,16:41:20.134495,1,1.03368055448527E-07
0x715f,22,16:41:20.151578,1,1.97719907446547E-07
0x715f,854,16:41:20.270230,1,1.3732870370875E-06
0x715f,216,16:41:20.315655,1,5.25752314795014E-07
0x715f,22,16:41:20.380101,1,7.4590277776565E-07
0x715f,790,16:41:20.382079,1,2.28935185253576E-08
0x715f,918,16:41:20.386830,1,5.49884259237743E-08
0x715f,588,16:41:20.387844,1,1.17361110829606E-08
0x715f,26,16:41:20.388646,1,9.28240739828112E-09
0x715f,26,16:41:20.418642,1,3.47175925896614E-07
0x715f,2592,16:41:20.435728,1,1.97754629671643E-07
0x715f,1851,16:41:20.437129,1,1.62152777871682E-08
0x715f,22,16:41:20.458789,1,2.50694444425825E-07
0x715f,2784,16:41:20.475586,1,1.94409722209521E-07
0x715f,1587,16:41:20.476958,1,1.58796296112484E-08
0x715f,26,16:41:20.498716,1,2.51828703778934E-07
0x715f,3437,16:41:20.514654,1,1.84467592534432E-07
0x715f,1779,16:41:20.517174,1,2.91666667484591E-08
0x715f,2784,16:41:20.556655,1,4.56956018468624E-07
0x715f,1635,16:41:20.558030,1,1.59143518363436E-08
0x715f,2880,16:41:20.575733,1,2.04895833300078E-07
0x715f,2784,16:41:20.577393,1,1.92129629983384E-08
0x715f,1587,16:41:20.578937,1,1.78703704056815E-08
0x715f,26,16:41:20.590554,1,1.34456018541229E-07
0x715f,2880,16:41:20.595854,1,6.13425925610756E-08
0x715f,1851,16:41:20.615953,1,2.32627314855627E-07
0x715f,2400,16:41:20.621002,1,5.84374999501591E-08
0x715f,2880,16:41:20.622477,1,1.7071759228493E-08
0x715f,1995,16:41:20.623963,1,1.71990740538419E-08
0x715f,2592,16:41:20.640812,1,1.9501157411117E-07
0x715f,1542,16:41:20.642425,1,1.86689814718477E-08
0x715f,240,16:41:20.644672,1,2.60069444868449E-08
0x715f,284,16:41:20.656708,1,1.39305555535429E-07
0x715f,124,16:41:20.656729,1,2.43055575666062E-10
0x715f,2784,16:41:20.662773,1,6.99537036075171E-08
0x715f,1587,16:41:20.664381,1,1.86111112077114E-08
0x715f,2307,16:41:20.668101,1,4.30555555652745E-08
0x715f,790,16:41:20.672138,1,4.6724537017262E-08
0x715f,516,16:41:20.673127,1,1.14467593181899E-08
0x715f,2592,16:41:20.675004,1,2.17245369471541E-08
0x715f,1923,16:41:20.676832,1,2.11574073816223E-08
0x715f,854,16:41:20.680200,1,3.89814815981993E-08
0x715f,1398,16:41:20.683917,1,4.30208333401794E-08
0x715f,2592,16:41:20.685026,1,1.28356480999514E-08
0x715f,372,16:41:20.686325,1,1.50347222449554E-08
0x715f,1851,16:41:20.689452,1,3.61921295155554E-08
0x715f,2307,16:41:20.690685,1,1.42708334038844E-08
0x715f,216,16:41:20.692168,1,1.71643518287468E-08
0x715f,1350,16:41:20.698578,1,7.4189814847081E-08
0x715f,636,16:41:20.699559,1,1.13541666069139E-08
0x715f,2400,16:41:20.700719,1,1.3425925926569E-08
0x715f,1254,16:41:20.708597,1,9.1180555550352E-08
0x715f,1995,16:41:20.709732,1,1.31365741617984E-08
0x715f,918,16:41:20.711187,1,1.68402777278587E-08
0x715f,1779,16:41:20.712134,1,1.09606481668578E-08
0x715f,2307,16:41:20.716575,1,5.14004628859865E-08
0x715f,2880,16:41:20.717911,1,1.54629630211289E-08
0x715f,2139,16:41:20.719292,1,1.59837962865339E-08
0x715f,3077,16:41:20.723870,1,5.29861111653318E-08
0x715f,26,16:41:20.725185,1,1.52199074454629E-08
0x715f,1779,16:41:20.732658,1,8.64930554955734E-08
0x715f,822,16:41:20.735794,1,3.62962963018632E-08
0x715f,660,16:41:20.737634,1,2.12962962820029E-08
0x715f,660,16:41:20.738833,1,1.3877314852806E-08
0x715f,364,16:41:20.747755,1,1.03263888773242E-07
0x715f,1587,16:41:20.749697,1,2.24768519352381E-08
0x715f,500,16:41:20.751113,1,1.6388888912644E-08
0x715f,1995,16:41:20.752050,1,1.08449074165407E-08
0x715f,950,16:41:20.753252,1,1.39120370779011E-08
0x715f,324,16:41:20.756611,1,3.88773147008692E-08
0x715f,324,16:41:20.757686,1,1.24421296598953E-08
0x715f,1046,16:41:20.760869,1,3.68402777173316E-08
0x715f,2880,16:41:20.761846,1,1.13078704178093E-08
0x715f,660,16:41:20.763452,1,1.85879629466257E-08
0x715f,2880,16:41:20.767763,1,4.98958333539079E-08
0x715f,2307,16:41:20.777663,1,1.14583333377105E-07
0x715f,2688,16:41:20.788697,1,1.27708333352849E-07
0x715f,2139,16:41:20.791216,1,2.91550925624051E-08
0x715f,1542,16:41:20.792679,1,1.69328703281124E-08
0x715f,2592,16:41:20.793881,1,1.39120370779011E-08
0x715f,240,16:41:20.797007,1,3.6180555551546E-08
0x715f,2592,16:41:20.803619,1,7.65277777814433E-08
0x715f,324,16:41:20.805026,1,1.62847222373586E-08
0x715f,790,16:41:20.810676,1,6.53935184891097E-08
0x715f,1046,16:41:20.811797,1,1.29745371113543E-08
0x715f,1995,16:41:20.812823,1,1.18749998723189E-08
0x715f,2592,16:41:20.814265,1,1.66898148634687E-08
0x715f,2688,16:41:20.815735,1,1.70138888533344E-08
0x715f,2592,16:41:20.818105,1,2.74305556047238E-08
0x715f,1995,16:41:20.819890,1,2.06597221552585E-08
0x715f,2592,16:41:20.844685,1,2.86979166652657E-07
0x715f,324,16:41:20.846194,1,1.74652777795714E-08
0x715f,2592,16:41:20.848074,1,2.17592593942939E-08
0x715f,324,16:41:20.849537,1,1.69328703281124E-08
0x715f,2688,16:41:20.855784,1,7.23032407279334E-08
0x715f,2307,16:41:20.857274,1,1.72453703539688E-08
0x715f,2139,16:41:20.858602,1,1.53703704208752E-08
0x715f,854,16:41:20.861921,1,3.84143518106228E-08
0x715f,854,16:41:20.862936,1,1.17476851579923E-08
0x715f,854,16:41:20.863897,1,1.11226852173019E-08
0x715f,854,16:41:20.864886,1,1.14467593181899E-08
0x715f,1302,16:41:20.866033,1,1.32754628401344E-08
0x715f,26,16:41:20.871783,1,6.65509259922814E-08
0x715f,1779,16:41:20.880810,1,1.04479166651572E-07
0x715f,732,16:41:20.882095,1,1.48726851945113E-08
0x715f,47,16:41:20.884116,1,2.33912037517214E-08
0x715f,1587,16:41:20.894657,1,1.2200231469528E-07
0x715f,216,16:41:20.896109,1,1.68055556137858E-08
0x715f,2139,16:41:20.904293,1,9.47222221769906E-08
0x715f,1587,16:41:20.906105,1,2.09722222921371E-08
0x715f,1398,16:41:20.907830,1,1.99652777643777E-08
0x715f,1398,16:41:20.909387,1,1.80208332700715E-08
0x715f,1398,16:41:20.910877,1,1.72453704649911E-08
0x715f,2784,16:41:21.560734,1,7.52149305549565E-06
0x715f,2880,16:41:21.575510,1,1.71018518568822E-07
0x715f,26,16:41:21.576862,1,1.56481481106141E-08
0x715f,2880,16:41:21.583688,1,7.90046296161862E-08
0x715f,3077,16:41:21.585367,1,1.9432870423941E-08
0x715f,3077,16:41:21.586672,1,1.51041665841234E-08
0x715f,452,16:41:21.588842,1,2.51157407094027E-08
0x715f,660,16:41:21.589586,1,8.61111126848613E-09
0x715f,2400,16:41:21.594638,1,5.84722221752543E-08
0x715f,564,16:41:21.596024,1,1.60416666616925E-08
0x715f,26,16:41:21.596867,1,9.75694447458153E-09
0x715f,2880,16:41:21.609322,1,1.4415509252963E-07
0x715f,2592,16:41:21.610812,1,1.72453703539688E-08
0x715f,324,16:41:21.612044,1,1.42592593288526E-08
0x715f,2496,16:41:21.620681,1,9.99652777222693E-08
0x715f,452,16:41:21.622048,1,1.58217592360899E-08
0x715f,26,16:41:21.623045,1,1.15393519184437E-08
0x715f,1110,16:41:21.643709,1,2.39166666693436E-07
0x715f,1110,16:41:21.644790,1,1.25115739990633E-08
0x715f,2592,16:41:21.654121,1,1.0799768523917E-07
0x715f,2592,16:41:21.662029,1,9.15277776902812E-08
0x715f,1707,16:41:21.663607,1,1.82638889567599E-08
0x715f,1350,16:41:21.669444,1,6.75578702979962E-08
0x715f,1707,16:41:21.671883,1,2.82291667819123E-08
0x715f,1302,16:41:21.676148,1,4.93634259024489E-08
0x715f,1707,16:41:21.687471,1,1.31053240703949E-07
0x715f,1014,16:41:21.694713,1,8.38194443852913E-08
0x715f,300,16:41:21.696226,1,1.75115740796983E-08
0x715f,1014,16:41:21.702528,1,7.29398148546778E-08
0x715f,3077,16:41:21.703343,1,9.43287037369345E-09
0x715f,1446,16:41:21.704686,1,1.55439814353286E-08
0x715f,2496,16:41:21.709671,1,5.76967592591515E-08
0x715f,300,16:41:21.710953,1,1.48379630804385E-08
0x715f,764,16:41:21.718510,1,8.74652776872154E-08
0x715f,300,16:41:21.795619,1,8.92465277790855E-07
0x715f,2880,16:41:21.797390,1,2.04976852158367E-08
0x715f,2784,16:41:21.798661,1,1.47106481440673E-08
0x715f,1046,16:41:21.800723,1,2.38657407169995E-08
0x715f,1851,16:41:21.835721,1,4.05069444542328E-07
0x715f,3557,16:41:21.854601,1,2.18518518391164E-07
0x715f,2784,16:41:21.856206,1,1.8576388871594E-08
0x715f,248,16:41:21.857351,1,1.32523149121155E-08
0x715f,404,16:41:21.861521,1,4.82638888854581E-08
0x715f,1707,16:41:21.861536,1,1.73611014453456E-10
0x715f,404,16:41:21.874389,1,1.48761574059186E-07
0x715f,764,16:41:21.875585,1,1.38425927387331E-08
0x715f,1110,16:41:21.878700,1,3.60532407261971E-08
0x715f,1446,16:41:21.895818,1,1.98124999961635E-07
0x715f,264,16:41:21.902816,1,8.09953704106192E-08
0x715f,3437,16:41:21.908675,1,6.7812499948694E-08
0x715f,1446,16:41:21.915748,1,8.18634259269757E-08
0x715f,1110,16:41:21.917777,1,2.34837963519752E-08
0x715f,1923,16:41:21.918896,1,1.29513888502686E-08
0x715f,3197,16:41:21.920849,1,2.26041666495647E-08
0x715f,484,16:41:21.922488,1,1.896990731165E-08
0x715f,26,16:41:22.048617,1,1.45982638899422E-06
0x715f,26,16:41:22.057656,1,1.04618055551953E-07
0x715f,26,16:41:22.075135,1,2.02303240715018E-07
0x715f,26,16:41:22.084401,1,1.07245370362108E-07
0x715f,26,16:41:22.117741,1,3.85879629694053E-07
0x715f,26,16:41:22.125831,1,9.36342592350314E-08
0x715f,26,16:41:22.134730,1,1.02997685158535E-07
0x715f,26,16:41:22.143674,1,1.03518518534962E-07
0x715f,1494,16:41:22.242706,1,1.14620370361695E-06
0x715f,26,16:41:22.298640,1,6.47384259311323E-07
0x715f,1923,16:41:22.314664,1,1.8546296298716E-07
0x715f,982,16:41:22.314680,1,1.85185200507476E-10
0x715f,2880,16:41:22.355449,1,4.7186342588823E-07
0x715f,1542,16:41:22.356993,1,1.78703704056815E-08
0x715f,2307,16:41:22.397558,1,4.69502314803805E-07
0x715f,516,16:41:22.399049,1,1.72569444290005E-08
0x715f,2496,16:41:22.403981,1,5.70833333934928E-08
0x715f,516,16:41:22.405466,1,1.71874998677879E-08
0x715f,660,16:41:22.406456,1,1.14583333932217E-08
0x715f,1158,16:41:22.407988,1,1.77314815053009E-08
0x715f,790,16:41:22.408666,1,7.84722231639279E-09
0x715f,232,16:41:22.409544,1,1.01620369896693E-08
0x715f,2067,16:41:22.445729,1,4.18807870272708E-07
0x715f,404,16:41:22.446911,1,1.36805555772668E-08
0x715f,26,16:41:22.450678,1,4.35995370917652E-08
0x715f,452,16:41:22.452601,1,2.22569443986131E-08
0x715f,452,16:41:22.458341,1,6.64351851309419E-08
0x715f,1995,16:41:22.459877,1,1.77777779164501E-08
0x715f,452,16:41:22.461006,1,1.30671294895635E-08
0x715f,3557,16:41:22.461869,1,9.98842597521588E-09
0x715f,3197,16:41:22.466795,1,5.70138889433025E-08
0x715f,1158,16:41:22.468377,1,1.83101851458645E-08
