rnti,block_size,timestamp,UL/DL,delta
0x1eef,372,16:20:21.589129,1,0
0x1eef,372,16:20:21.592000,1,3.32291666405027E-08
0x1eef,1110,16:20:21.594941,1,3.40393518927229E-08
0x1eef,1046,16:20:21.596002,1,1.2280092498429E-08
0x1eef,1046,16:20:21.597792,1,2.07175926414394E-08
0x1eef,1110,16:20:21.598697,1,1.04745370155257E-08
0x1eef,790,16:20:21.599833,1,1.31481481258078E-08
0x1eef,1110,16:20:21.600851,1,1.17824074941097E-08
0x1eef,790,16:20:21.601809,1,1.10879628811844E-08
0x1eef,1046,16:20:21.602833,1,1.18518518332778E-08
0x1eef,790,16:20:21.603881,1,1.21296297450613E-08
0x1eef,340,16:20:21.604823,1,1.09027777916992E-08
0x1eef,886,16:20:21.606734,1,2.21180554982325E-08
0x1eef,790,16:20:21.607759,1,1.18634259083095E-08
0x1eef,1851,16:20:21.608714,1,1.10532407671116E-08
0x1eef,1046,16:20:21.610678,1,2.27314814749135E-08
0x1eef,790,16:20:21.611898,1,1.4120370428472E-08
0x1eef,1995,16:20:21.612804,1,1.04861109795351E-08
0x1eef,1635,16:20:21.616764,1,4.58333333508421E-08
0x1eef,854,16:20:21.618197,1,1.65856481881832E-08
0x1eef,2067,16:20:21.619144,1,1.09606481668578E-08
0x1eef,2880,16:20:21.620998,1,2.1458333332447E-08
0x1eef,516,16:20:21.622500,1,1.73842592543494E-08
0x1eef,516,16:20:21.623278,1,9.00462959751991E-09
0x1eef,516,16:20:21.624096,1,9.4675925987886E-09
0x1eef,1635,16:20:21.625124,1,1.18981481334046E-08
0x1eef,2067,16:20:21.626163,1,1.20254629587535E-08
0x1eef,1110,16:20:21.630042,1,4.48958333842953E-08
0x1eef,148,16:20:21.632915,1,3.32523147905661E-08
0x1eef,160,16:20:21.635742,1,3.27199074501294E-08
0x1eef,516,16:20:21.637736,1,2.30787036148428E-08
0x1eef,160,16:20:21.639090,1,1.56712963716998E-08
0x1eef,160,16:20:21.639875,1,9.08564812274193E-09
0x1eef,1398,16:20:21.645903,1,6.97685185180319E-08
0x1eef,160,16:20:21.647015,1,1.28703704360689E-08
0x1eef,160,16:20:21.647893,1,1.01620369896693E-08
0x1eef,764,16:20:21.648903,1,1.16898147828337E-08
0x1eef,1110,16:20:21.655834,1,8.02199073834942E-08
0x1eef,1254,16:20:21.656903,1,1.2372685209705E-08
0x1eef,1254,16:20:21.657913,1,1.1689814893856E-08
0x1eef,2400,16:20:21.658732,1,9.47916667382032E-09
0x1eef,1923,16:20:21.660003,1,1.4710648033045E-08
0x1eef,3437,16:20:21.660834,1,9.61805568522323E-09
0x1eef,2496,16:20:21.663040,1,2.55324072995222E-08
0x1eef,3437,16:20:21.664937,1,2.19560185588108E-08
0x1eef,2139,16:20:21.666328,1,1.60995370368511E-08
0x1eef,2880,16:20:21.667432,1,1.27777778358151E-08
0x1eef,3077,16:20:21.669143,1,1.98032407139337E-08
0x1eef,2067,16:20:21.670942,1,2.08217592057025E-08
0x1eef,2592,16:20:21.672856,1,2.21527777233277E-08
0x1eef,2139,16:20:21.680087,1,8.36921296709647E-08
0x1eef,3197,16:20:21.683093,1,3.47916666587622E-08
0x1eef,1158,16:20:21.684316,1,1.41550926535672E-08
0x1eef,1254,16:20:21.693724,1,1.08888888794567E-07
0x1eef,2211,16:20:21.703925,1,1.18067129739607E-07
0x1eef,1587,16:20:21.705771,1,2.13657407321932E-08
0x1eef,3197,16:20:21.708757,1,3.45601851581279E-08
0x1eef,1995,16:20:21.710480,1,1.99421296143143E-08
0x1eef,3437,16:20:21.711801,1,1.52893517846309E-08
0x1eef,1995,16:20:21.713563,1,2.03935185405513E-08
0x1eef,1995,16:20:21.714793,1,1.42361111787892E-08
0x1eef,3197,16:20:21.716468,1,1.93865740127919E-08
0x1eef,2784,16:20:21.718356,1,2.18518518835253E-08
0x1eef,3197,16:20:21.719480,1,1.30092592254272E-08
0x1eef,2976,16:20:21.721008,1,1.7685185205174E-08
0x1eef,2592,16:20:21.724810,1,4.4004629606853E-08
0x1eef,2592,16:20:21.737906,1,1.51574074180871E-07
0x1eef,3677,16:20:21.747877,1,1.15405092593335E-07
0x1eef,2976,16:20:21.750834,1,3.42245369822081E-08
0x1eef,1398,16:20:21.753531,1,3.12152778070285E-08
0x1eef,26,16:20:21.785137,1,3.65810185143367E-07
0x1eef,22,16:20:21.831119,1,5.32199074143591E-07
0x1eef,22,16:20:21.838803,1,8.89351851052211E-08
0x1eef,22,16:20:21.846946,1,9.42476852117125E-08
0x1eef,26,16:20:21.855946,1,1.04166666736738E-07
0x1eef,1587,16:20:22.050958,1,2.25708333323471E-06
0x1eef,22,16:20:22.162830,1,1.29481481481175E-06
0x1eef,3557,16:20:22.196956,1,3.94976851891826E-07
0x1eef,3557,16:20:22.282999,1,9.958680555755E-07
0x1eef,822,16:20:22.284469,1,1.70138888533344E-08
0x1eef,26,16:20:22.314985,1,3.53194444469018E-07
0x1eef,2139,16:20:22.322820,1,9.06828703239881E-08
0x1eef,33,16:20:22.326881,1,4.70023148180232E-08
0x1eef,176,16:20:22.392915,1,7.64282407361705E-07
0x1eef,188,16:20:22.395924,1,3.48263888838574E-08
0x1eef,188,16:20:22.396964,1,1.20370371448075E-08
0x1eef,1707,16:20:22.403082,1,7.08101851598642E-08
0x1eef,660,16:20:22.408715,1,6.51967592135705E-08
0x1eef,790,16:20:22.427798,1,2.2086805551158E-07
0x1eef,1542,16:20:22.444009,1,1.87627314907068E-07
0x1eef,3197,16:20:22.445121,1,1.28703703250466E-08
0x1eef,3677,16:20:22.446481,1,1.57407407108678E-08
0x1eef,200,16:20:22.463907,1,2.0168981484936E-07
0x1eef,1398,16:20:22.465018,1,1.28587963610372E-08
0x1eef,168,16:20:22.469925,1,5.67939814066776E-08
0x1eef,2784,16:20:22.483152,1,1.53090277787982E-07
0x1eef,2976,16:20:22.495356,1,1.41250000029736E-07
0x1eef,200,16:20:22.504853,1,1.0991898147239E-07
0x1eef,200,16:20:22.505952,1,1.27199074606565E-08
0x1eef,1923,16:20:22.523848,1,2.07129629559155E-07
0x1eef,2496,16:20:22.526054,1,2.55324074105445E-08
0x1eef,1779,16:20:22.537980,1,1.38032407392963E-07
0x1eef,248,16:20:22.539363,1,1.60069445476196E-08
0x1eef,3677,16:20:22.541086,1,1.9942129503292E-08
0x1eef,3677,16:20:22.560827,1,2.28483796327339E-07
0x1eef,3677,16:20:22.562722,1,2.19328704087474E-08
0x1eef,2307,16:20:22.564291,1,1.81597222814744E-08
0x1eef,3197,16:20:22.565559,1,1.46759259189722E-08
0x1eef,26,16:20:22.584883,1,2.2365740737218E-07
0x1eef,2307,16:20:22.585667,1,9.07407404771021E-09
0x1eef,2784,16:20:22.590062,1,5.08680555455499E-08
0x1eef,708,16:20:22.591463,1,1.62152777871682E-08
0x1eef,1110,16:20:22.592268,1,9.31712962337627E-09
0x1eef,3677,16:20:22.603855,1,1.34108796290278E-07
