rnti,block_size,timestamp,UL/DL,delta
0x83b,26,17:02:33.479749,1,0
0x83b,982,17:02:33.679390,1,2.31065972222666E-06
0x83b,660,17:02:33.700516,1,2.44513888802977E-07
0x83b,660,17:02:33.705611,1,5.89699075126404E-08
0x83b,372,17:02:33.722657,1,1.97291666670374E-07
0x83b,918,17:02:33.728603,1,6.88194444764534E-08
0x83b,918,17:02:33.729549,1,1.09490740918261E-08
0x83b,500,17:02:33.731683,1,2.46990740082609E-08
0x83b,2139,17:02:33.741580,1,1.1454861115201E-07
0x83b,2139,17:02:33.743030,1,1.67824073527001E-08
0x83b,1542,17:02:33.744260,1,1.42361110677669E-08
0x83b,1158,17:02:33.745322,1,1.22916667955053E-08
0x83b,316,17:02:33.746361,1,1.20254628477312E-08
0x83b,918,17:02:33.761372,1,1.73738425979231E-07
0x83b,1494,17:02:33.763661,1,2.64930555271548E-08
0x83b,188,17:02:33.764800,1,1.31828703509029E-08
0x83b,100,17:02:33.780616,1,1.83055555491585E-07
0x83b,1046,17:02:33.781585,1,1.12152778175556E-08
0x83b,1494,17:02:33.782663,1,1.24768518849905E-08
0x83b,324,17:02:33.783745,1,1.25231481851174E-08
0x83b,732,17:02:33.799572,1,1.83182870427956E-07
0x83b,2307,17:02:33.802543,1,3.43865739216298E-08
0x83b,26,17:02:33.805936,1,3.92708333629699E-08
0x83b,324,17:02:33.831682,1,2.97986111119641E-07
0x83b,324,17:02:33.832571,1,1.02893519260405E-08
0x83b,636,17:02:33.834671,1,2.43055554571825E-08
0x83b,708,17:02:33.852587,1,2.07361111170812E-07
0x83b,612,17:02:33.854795,1,2.5555555560608E-08
0x83b,420,17:02:33.855916,1,1.2974537000332E-08
0x83b,612,17:02:33.856905,1,1.14467593181899E-08
0x83b,468,17:02:33.857821,1,1.06018518408746E-08
0x83b,708,17:02:33.858720,1,1.04050925653354E-08
0x83b,300,17:02:33.859680,1,1.11111111422701E-08
0x83b,324,17:02:33.862562,1,3.33564814658516E-08
0x83b,636,17:02:33.863572,1,1.16898147828337E-08
0x83b,248,17:02:33.866639,1,3.5497685235697E-08
0x83b,324,17:02:33.868582,1,2.24884258992475E-08
0x83b,324,17:02:33.869471,1,1.02893518150182E-08
0x83b,324,17:02:33.876662,1,8.32291667807183E-08
0x83b,324,17:02:33.877561,1,1.04050925653354E-08
0x83b,324,17:02:33.878525,1,1.11574073313747E-08
0x83b,340,17:02:33.880619,1,2.42361112290368E-08
0x83b,790,17:02:33.884485,1,4.47453702978606E-08
0x83b,982,17:02:33.885638,1,1.3344907401347E-08
0x83b,372,17:02:33.907771,1,2.56168981471738E-07
0x83b,404,17:02:33.920753,1,1.50254629627256E-07
0x83b,404,17:02:33.929723,1,1.03819444485787E-07
0x83b,790,17:02:33.931965,1,2.59490741116863E-08
0x83b,588,17:02:33.933750,1,2.06597221552585E-08
0x83b,300,17:02:33.934830,1,1.24999999240316E-08
0x83b,588,17:02:33.936899,1,2.39467593532439E-08
0x83b,588,17:02:33.940699,1,4.39814814567896E-08
0x83b,588,17:02:33.946690,1,6.93402777418584E-08
0x83b,452,17:02:33.948815,1,2.45949074439977E-08
0x83b,790,17:02:33.949871,1,1.22222222342927E-08
0x83b,1046,17:02:33.951123,1,1.44907407184647E-08
0x83b,732,17:02:33.954143,1,3.49537037092063E-08
0x83b,1110,17:02:33.955144,1,1.15856481075483E-08
0x83b,500,17:02:33.957142,1,2.31250000259919E-08
0x83b,660,17:02:33.958096,1,1.10416666920798E-08
0x83b,1110,17:02:33.962580,1,5.18981481123504E-08
0x83b,564,17:02:33.963830,1,1.44675926794235E-08
0x83b,532,17:02:33.991832,1,3.24097222170749E-07
0x83b,790,17:02:34.007620,1,1.82731481390697E-07
0x83b,1254,17:02:34.019927,1,1.42442129758003E-07
0x83b,500,17:02:34.021092,1,1.34837963017276E-08
0x83b,982,17:02:34.024705,1,4.18171296479031E-08
