rnti,block_size,timestamp,UL/DL,delta
0x3487,26,16:54:53.407552,1,0
0x3487,26,16:54:53.415588,1,9.3009259294341E-08
0x3487,1046,16:54:53.556596,1,1.63203703706927E-06
0x3487,2307,16:54:53.657589,1,1.16890046286677E-06
0x3487,1350,16:54:53.837499,1,2.08229166664964E-06
0x3487,1110,16:54:53.928476,1,1.05297453711906E-06
0x3487,1110,16:54:53.929638,1,1.34490740766324E-08
0x3487,1851,16:54:53.933489,1,4.45717592834072E-08
0x3487,1254,16:54:54.207763,1,3.17446759245943E-06
0x3487,256,16:54:54.241032,1,3.85057870366801E-07
0x3487,232,16:54:55.563579,1,1.53072569445412E-05
0x3487,364,16:54:55.563594,1,1.73611125475759E-10
0x3487,1046,16:54:55.656085,1,1.07049768516276E-06
0x3487,2139,16:54:55.681568,1,2.94942129608344E-07
0x3487,660,16:54:55.878375,1,2.27785879625131E-06
0x3487,132,16:54:55.878394,1,2.19907425602628E-10
0x3487,588,16:54:56.187005,1,3.57188657407193E-06
0x3487,588,16:54:56.192556,1,6.42476852830143E-08
0x3487,1587,16:54:56.478756,1,3.31249999985239E-06
0x3487,886,16:54:56.478786,1,3.47222250951518E-10
0x3487,732,16:54:56.919312,1,5.09868055553753E-06
0x3487,172,16:54:56.919333,1,2.43055575666062E-10
0x3487,56,16:54:57.057963,1,1.60451388897531E-06
0x3487,1158,16:54:57.277589,1,2.54196759252867E-06
0x3487,172,16:54:58.028436,1,8.69035879635938E-06
0x3487,216,16:54:58.028452,1,1.85185089485174E-10
0x3487,1158,16:54:58.029591,1,1.31828704619252E-08
0x3487,1350,16:54:58.029600,1,1.04166675285455E-10
0x3487,1158,16:54:58.031995,1,2.77199073694945E-08
0x3487,1350,16:54:58.032008,1,1.50462975412324E-10
0x3487,26,16:54:58.071513,1,4.57233796269385E-07
0x3487,26,16:54:58.237602,1,1.92232638895895E-06
0x3487,26,16:54:58.245692,1,9.36342591240091E-08
0x3487,22,16:54:58.262635,1,1.96099537053129E-07
0x3487,1398,16:54:58.439518,1,2.04725694452623E-06
0x3487,660,16:54:58.521334,1,9.46944444413234E-07
0x3487,548,16:54:59.064716,1,6.28914351852306E-06
0x3487,548,16:54:59.064737,1,2.43055575666062E-10
0x3487,26,16:54:59.586837,1,6.04282407412615E-06
0x3487,26,16:54:59.596349,1,1.10092592486843E-07
0x3487,144,16:55:00.005654,1,4.7373263889483E-06
0x3487,588,16:55:00.205397,1,2.31184027776887E-06
0x3487,854,16:55:00.650876,1,5.15600694439566E-06
0x3487,684,16:55:00.650897,1,2.43055575666062E-10
0x3487,660,16:55:00.660939,1,1.16226851920587E-07
0x3487,588,16:55:00.660976,1,4.28240665151236E-10
0x3487,292,16:55:00.662547,1,1.81828704315379E-08
0x3487,332,16:55:00.662561,1,1.62036939421739E-10
0x3487,224,16:55:00.663904,1,1.5543981546351E-08
0x3487,248,16:55:00.663917,1,1.50462975412324E-10
0x3487,1078,16:55:01.166465,1,5.81652777775776E-06
0x3487,1923,16:55:01.169470,1,3.47800925837305E-08
0x3487,2139,16:55:01.171699,1,2.5798611136274E-08
0x3487,1158,16:55:01.251563,1,9.24351851838701E-07
0x3487,26,16:55:01.449600,1,2.2920949074301E-06
0x3487,26,16:55:01.452775,1,3.67476851170778E-08
0x3487,292,16:55:01.461622,1,1.02395833367908E-07
0x3487,332,16:55:01.461638,1,1.85185200507476E-10
0x3487,26,16:55:01.462535,1,1.0381944415272E-08
0x3487,790,16:55:01.469579,1,8.15277777510559E-08
0x3487,588,16:55:01.470511,1,1.07870370413821E-08
0x3487,564,16:55:01.479606,1,1.05266203753729E-07
0x3487,436,16:55:01.479621,1,1.73611125475759E-10
0x3487,26,16:55:01.513841,1,3.96064814833785E-07
0x3487,982,16:55:01.522596,1,1.0133101846499E-07
0x3487,1110,16:55:01.522614,1,2.08333350570911E-10
0x3487,324,16:55:01.524428,1,2.09953703311783E-08
0x3487,548,16:55:01.524439,1,1.2731482534889E-10
0x3487,588,16:55:02.329499,1,9.31782407409543E-06
0x3487,26,16:55:02.368311,1,4.49212962938539E-07
0x3487,1046,16:55:02.379755,1,1.32453703782787E-07
0x3487,1046,16:55:02.379774,1,2.19907314580325E-10
0x3487,248,16:55:02.381312,1,1.78009259554912E-08
0x3487,120,16:55:02.381337,1,2.89351875792931E-10
0x3487,26,16:55:02.382248,1,1.0543981465716E-08
0x3487,26,16:55:02.391601,1,1.08252314889867E-07
0x3487,436,16:55:02.397492,1,6.81828702386866E-08
0x3487,308,16:55:02.397506,1,1.62037161466344E-10
0x3487,256,16:55:02.398779,1,1.47337962941307E-08
0x3487,112,16:55:02.398789,1,1.1574063929487E-10
0x3487,200,16:55:02.399596,1,9.34027788446201E-09
0x3487,168,16:55:02.399602,1,6.94443391680011E-11
0x3487,26,16:55:02.417509,1,2.07256944495526E-07
0x3487,854,16:55:02.419578,1,2.39467592422216E-08
0x3487,764,16:55:02.419596,1,2.08333350570911E-10
0x3487,636,16:55:02.430663,1,1.28090277717874E-07
0x3487,420,16:55:02.430679,1,1.85185200507476E-10
0x3487,636,16:55:02.431767,1,1.25925926353077E-08
0x3487,420,16:55:02.431776,1,1.04166675285455E-10
0x3487,172,16:55:02.432677,1,1.04282407153988E-08
0x3487,41,16:55:02.432681,1,4.6296300126869E-11
0x3487,200,16:55:02.441486,1,1.01909722216575E-07
0x3487,144,16:55:02.441504,1,2.08333350570911E-10
0x3487,26,16:55:02.444544,1,3.51851850988183E-08
0x3487,172,16:55:02.445843,1,1.50347223559777E-08
0x3487,136,16:55:02.445852,1,1.04166564263153E-10
0x3487,588,16:55:02.447609,1,2.0335648276415E-08
0x3487,588,16:55:02.447621,1,1.38888789358305E-10
0x3487,886,16:55:02.448624,1,1.16087962576117E-08
0x3487,1046,16:55:02.448631,1,8.10185252220208E-11
0x3487,790,16:55:02.455555,1,8.01388889692944E-08
0x3487,918,16:55:02.455570,1,1.73611014453456E-10
0x3487,732,16:55:02.465671,1,1.16909722236436E-07
0x3487,732,16:55:02.465688,1,1.96759275539193E-10
0x3487,790,16:55:02.480665,1,1.73344907428152E-07
0x3487,950,16:55:02.480681,1,1.85185200507476E-10
0x3487,982,16:55:02.482001,1,1.52777777095992E-08
0x3487,1158,16:55:02.482011,1,1.15740861339475E-10
0x3487,256,16:55:02.483364,1,1.56597221856458E-08
0x3487,128,16:55:02.483372,1,9.25926002537381E-11
0x3487,982,16:55:02.488548,1,5.99074073681649E-08
0x3487,1158,16:55:02.488564,1,1.85185200507476E-10
0x3487,1254,16:55:02.492571,1,4.63773148773328E-08
0x3487,2067,16:55:02.494583,1,2.32870369654137E-08
0x3487,1779,16:55:02.495896,1,1.51967592953994E-08
0x3487,26,16:55:02.501431,1,6.40624999714845E-08
0x3487,1254,16:55:02.506609,1,5.99305555182283E-08
0x3487,404,16:55:02.509500,1,3.3460648141137E-08
0x3487,708,16:55:02.516544,1,8.15277777510559E-08
0x3487,1046,16:55:02.523467,1,8.01273148942627E-08
0x3487,950,16:55:02.525609,1,2.47916666085146E-08
0x3487,822,16:55:02.525622,1,1.50462975412324E-10
0x3487,268,16:55:02.531726,1,7.06481482204424E-08
0x3487,84,16:55:02.531741,1,1.73611014453456E-10
0x3487,1494,16:55:02.539637,1,9.13888890119452E-08
0x3487,1494,16:55:02.539654,1,1.96759164516891E-10
0x3487,1494,16:55:02.541119,1,1.69560185891982E-08
0x3487,1494,16:55:02.541128,1,1.04166564263153E-10
0x3487,1014,16:55:02.542517,1,1.60763889978099E-08
0x3487,1014,16:55:02.542537,1,2.31481500634345E-10
0x3487,26,16:55:02.550559,1,9.2847222243897E-08
0x3487,26,16:55:02.713571,1,1.88671296286191E-06
0x3487,26,16:55:02.721528,1,9.20949074778576E-08
0x3487,484,16:55:02.941536,1,2.54638888885772E-06
0x3487,324,16:55:02.941552,1,1.85185089485174E-10
0x3487,26,16:55:02.971511,1,3.46747685342486E-07
0x3487,790,16:55:02.979631,1,9.39814813749607E-08
0x3487,790,16:55:02.979647,1,1.85185200507476E-10
0x3487,364,16:55:02.988579,1,1.03379629634581E-07
0x3487,256,16:55:02.988596,1,1.96759275539193E-10
0x3487,92,16:55:02.989603,1,1.16550925577386E-08
0x3487,208,16:55:02.989613,1,1.15740750317173E-10
0x3487,332,16:55:02.990574,1,1.11226852173019E-08
0x3487,224,16:55:02.990580,1,6.94444501903035E-11
0x3487,47,16:55:02.991339,1,8.78472217191728E-09
0x3487,26,16:55:02.992336,1,1.15393519184437E-08
0x3487,26,16:55:02.998689,1,7.35300925702731E-08
0x3487,26,16:55:03.001503,1,3.25694443636948E-08
0x3487,588,16:55:03.016496,1,1.7353009262866E-07
0x3487,1494,16:55:03.017453,1,1.1076388917175E-08
0x3487,26,16:55:03.024407,1,8.04861111092237E-08
0x3487,188,16:55:03.031703,1,8.44444444370041E-08
0x3487,188,16:55:03.031721,1,2.08333350570911E-10
0x3487,588,16:55:03.033497,1,2.0555555479973E-08
0x3487,420,16:55:03.033508,1,1.27314936371192E-10
0x3487,420,16:55:03.038550,1,5.83564814249371E-08
0x3487,316,16:55:03.038568,1,2.08333350570911E-10
0x3487,588,16:55:03.039534,1,1.11805555924605E-08
0x3487,918,16:55:03.042431,1,3.35300925913273E-08
0x3487,886,16:55:03.047707,1,6.10648147603143E-08
0x3487,1779,16:55:03.048550,1,9.75694447458153E-09
0x3487,1542,16:55:03.049412,1,9.97685178916186E-09
0x3487,1350,16:55:03.076475,1,3.13229166715168E-07
0x3487,1398,16:55:03.083599,1,8.2453703642571E-08
0x3487,1779,16:55:03.092617,1,1.04375000087309E-07
0x3487,1398,16:55:03.093816,1,1.38773147417837E-08
0x3487,300,16:55:03.095848,1,2.3518518466048E-08
0x3487,854,16:55:03.102675,1,7.90162038022402E-08
0x3487,300,16:55:03.103671,1,1.15277777323897E-08
0x3487,2400,16:55:03.104420,1,8.66898153262241E-09
0x3487,2592,16:55:03.105746,1,1.53472221597895E-08
0x3487,516,16:55:03.107973,1,2.57754629862106E-08
0x3487,548,16:55:03.108822,1,9.82638892477183E-09
0x3487,790,16:55:03.120557,1,1.35821759283949E-07
0x3487,468,16:55:03.121688,1,1.30902777506492E-08
0x3487,372,16:55:03.126938,1,6.0763888920512E-08
0x3487,1707,16:55:03.135597,1,1.00219907372967E-07
0x3487,588,16:55:03.137643,1,2.36805555164921E-08
0x3487,982,16:55:03.138522,1,1.01736111757234E-08
0x3487,268,16:55:03.139637,1,1.29050925501417E-08
0x3487,1254,16:55:03.141638,1,2.31597222510871E-08
0x3487,636,16:55:03.142571,1,1.07986110053915E-08
0x3487,1046,16:55:03.143538,1,1.11921296674922E-08
0x3487,732,16:55:03.148663,1,5.93171296525696E-08
0x3487,1254,16:55:03.149575,1,1.055555565177E-08
0x3487,436,16:55:03.160734,1,1.2915509250977E-07
0x3487,708,16:55:03.162722,1,2.30092592756748E-08
0x3487,500,16:55:03.164655,1,2.23726851489303E-08
0x3487,1158,16:55:03.173509,1,1.0247685189313E-07
0x3487,790,16:55:03.174623,1,1.289351847511E-08
0x3487,1302,16:55:03.175581,1,1.10879629922067E-08
0x3487,1542,16:55:03.198612,1,2.66562499962042E-07
0x3487,950,16:55:03.203730,1,5.92361111273476E-08
0x3487,468,16:55:03.204759,1,1.19097222084363E-08
0x3487,1923,16:55:03.207545,1,3.2245370373829E-08
0x3487,2400,16:55:03.208743,1,1.38657407777743E-08
0x3487,22,16:55:03.217644,1,1.03020833308598E-07
0x3487,708,16:55:03.236726,1,2.20856481547571E-07
0x3487,26,16:55:03.401780,1,1.9103472221893E-06
0x3487,26,16:55:03.418428,1,1.92685185140817E-07
0x3487,548,16:55:03.546549,1,1.482881944459E-06
0x3487,404,16:55:03.567666,1,2.44409722238714E-07
0x3487,790,16:55:03.680535,1,1.30635416661917E-06
0x3487,790,16:55:03.680552,1,1.96759275539193E-10
0x3487,276,16:55:03.688450,1,9.14120370509863E-08
0x3487,240,16:55:03.721296,1,3.80162037072473E-07
0x3487,240,16:55:03.725736,1,5.13888889219771E-08
0x3487,240,16:55:03.726896,1,1.3425925926569E-08
0x3487,240,16:55:03.727667,1,8.92361107229789E-09
0x3487,790,16:55:03.728646,1,1.13310185678728E-08
0x3487,790,16:55:03.731847,1,3.70486110679025E-08
0x3487,1302,16:55:03.735723,1,4.48611110481778E-08
0x3487,300,16:55:03.746936,1,1.29780092672505E-07
0x3487,822,16:55:03.748358,1,1.6458333251812E-08
0x3487,1014,16:55:03.749875,1,1.75578703798251E-08
0x3487,886,16:55:03.751567,1,1.95833333993534E-08
